timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
32094897,32094511,2621474,-0.033289514,-0.27641195,0.02738214,30.920029,0
33094490,33094107,2621474,0.80533993,-0.0846159,0.0981496,30.872107,0
34096530,34096147,2621474,0.34190148,0.17167705,0.1922076,30.920029,0
35093684,35093299,2621474,-0.12771069,0.48808482,-0.3135267,30.77626,0
36093278,36092895,2621474,0.032200042,-0.09430011,-0.51687115,30.728338,0
37095529,37095146,2621474,0.097544335,0.043821108,-0.36458677,30.872107,0
38097361,38096976,2621474,-0.1259191,0.12589489,0.074471675,31.25549,0
39094511,39094127,2621474,0.22041291,0.20358658,0.080451675,31.207565,0
40094107,40093723,2621474,-0.124563314,0.10918961,-0.113474876,31.111721,0
41096146,41095763,2621474,0.3258499,0.22302765,-0.00021789502,31.063797,0
42093297,42092915,2621474,-0.07890221,-0.030747408,-0.048711643,31.063797,0
43095567,43095184,2621474,0.30742565,-0.27294984,-0.0752222,31.063797,0
44094967,44094551,2621474,-0.35584274,0.08051624,-0.0311146,31.015875,0
45096975,45096591,2621474,-0.14429492,-0.46382585,-0.03447583,31.207565,0
46094129,46093744,2621474,0.050600063,-0.41155523,-0.05604744,31.207565,0
47096199,47095783,2621474,0.37548354,-0.27508238,-0.07137272,31.25549,0
48095762,48095379,2621474,0.42891422,0.11979384,-0.014574755,31.25549,0
49093069,49092686,2621474,-0.3655794,-0.6085323,-0.05701586,31.543026,0
50094953,50094570,2621474,-0.39368787,-0.058589544,-0.01781897,30.920029,0
53093741,53093358,2621474,-0.37940362,1.2508868,0.07626326,31.44718,0
54095782,54095399,2621474,-0.9074117,0.7791683,0.35555622,31.399258,0
55095571,55095185,2621474,1.0965687,-0.743482,-0.14945176,31.590948,0
56092530,56092147,2621474,0.5717081,-0.0855359,-0.014211597,31.44718,0
57094604,57094188,2621474,-0.5290592,0.07403588,-0.013892824,31.25549,0
58096611,58096227,2621474,-0.17789917,0.07977378,0.14131701,31.543026,0
59096207,59095824,2621474,0.05914639,0.040213734,0.058880072,31.734718,0
60093356,60092975,2621474,-0.32897303,-0.09626117,-0.047210585,31.303411,0
61095600,61095185,2621474,0.35124877,-0.0352425,0.060475953,31.734718,0
62095035,62094611,2621474,0.24811785,0.0905031,0.33888724,31.638872,0
63094592,63094207,2621474,-0.6806556,-0.34064254,0.33032882,31.638872,0
64094186,64093803,2621474,-0.10146644,-0.10923803,-0.010967382,31.543026,0
65096226,65095843,2621474,-0.5816344,-0.38802257,0.3011067,31.734718,0
66095821,66095439,2621474,-0.26953614,-0.2970151,0.08057273,31.830563,0
67093092,67092676,2621474,0.73618656,-0.15823616,0.2260358,31.543026,0
68095017,68094632,2621474,1.0866666,-0.15121913,0.35974467,31.734718,0
69097056,69096671,2621474,1.0413929,-0.06686956,0.2210666,31.590948,0
70094208,70093824,2621474,-0.37327835,-0.3801784,0.20351394,31.590948,0
71093834,71093419,2621474,-0.2730406,-0.3810762,0.22743396,31.734718,0
72095842,72095459,2621474,-0.06578008,-0.36879942,0.33848777,31.734718,0
73095569,73095186,2621474,1.1921762,0.23227607,0.17787497,31.734718,0
74095049,74094664,2621474,-0.33105513,-0.06602219,0.09497801,31.78264,0
75094636,75094248,2621474,-0.92326957,-0.33497727,-0.10580013,31.97433,0
76096703,76096287,2621474,-0.27388394,-0.11922085,-0.111497685,31.78264,0
77093823,77093439,2621474,-0.64884293,-0.13344859,0.19867182,31.734718,0
78093419,78093035,2621474,-0.11667067,0.3119288,-0.22111502,31.78264,0
79095604,79095188,2621474,-0.6319238,-0.024212575,0.059210952,31.926409,0
80097500,80097115,2621474,-0.599526,-0.24534978,-0.14071175,31.830563,0
81094653,81094267,2621474,-0.51014066,-0.4178258,-0.020990552,31.78264,0
82094279,82093864,2621474,0.83996105,0.31414205,0.0006214043,31.97433,0
83096285,83095902,2621474,-0.7606231,-0.35490254,-0.013315806,31.830563,0
84093468,84093054,2621474,-0.52444303,0.022947574,0.116180405,32.07018,0
85095601,85095186,2621474,-0.70695835,-0.2695341,-0.031158986,31.78264,0
86095078,86094693,2621474,0.30011407,-0.24183924,-0.16777915,32.261868,0
87097114,87096731,2621474,0.43533,-0.026462138,-0.109431714,32.166023,0
88094267,88093884,2621474,-0.659665,-0.3726489,-0.14092965,32.07018,0
89093863,89093478,2621474,0.15560125,-0.26634035,-0.19114235,32.166023,0
90095901,90095519,2621474,-0.73052937,-0.21452974,-0.12858227,32.166023,0
91093052,91092670,2621474,0.77386624,-0.05970323,-0.23411608,32.30979,0
92095096,92094712,2621474,0.47159743,0.18225707,-0.11698541,31.78264,0
93094693,93094308,2621474,0.9473591,-0.30626354,-0.41032052,32.30979,0
94096729,94096346,2621474,-0.59405446,-0.12850964,-0.32873094,32.30979,0
95093886,95093499,2621474,-0.12434542,-0.5400891,-0.4558364,32.357716,0
96095923,96095539,2621474,0.8891327,-0.08062115,-0.22055817,32.30979,0
97095601,97095186,2621474,-0.15355344,-0.23411407,-0.53824705,32.30979,0
98093066,98092683,2621474,-0.44186687,-0.022418976,-0.21135816,32.261868,0
99094713,99094327,2621474,-0.70895773,-0.2263687,-0.13131806,31.97433,0
100096751,100096367,2621474,-0.020554764,-0.11187698,-0.3143983,32.1181,0
101096347,101095964,2621474,-0.20150447,-0.3252204,0.09875486,32.166023,0
102093529,102093115,2621474,-1.0615361,0.10839066,-0.49013263,32.30979,0
103095539,103095157,2621474,0.026389506,0.018351603,-0.015857914,32.357716,0
104095103,104094752,2621474,-0.08428905,-0.13105416,0.007749799,32.30979,0
105094735,105094349,2621474,0.3296267,-0.029827405,0.05643481,32.357716,0
106094360,106093944,2621474,0.09542994,-0.14014885,-0.023679942,32.357716,0
107096367,107095983,2621474,0.06544113,-0.03350741,-0.02438003,32.357716,0
108095994,108095578,2621474,0.20655034,-0.08433344,-0.010741417,32.30979,0
109093112,109092730,2621474,-0.2669214,0.12068962,0.017988443,32.693176,0
110095531,110095148,2621474,0.024234766,0.022975817,0.052391645,32.645252,0
111097230,111096845,2621474,0.15831284,-0.20307815,-0.027696876,32.501484,0
112094350,112093964,2621474,-0.06253587,0.02743056,0.016293705,32.45356,0
