timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
24280648,63.31922482779988,10.272888658718873,3.5300624,-0.01914778,-0.017039709,-0.11653727,0.49856037,1,1,0
31738714,63.319224547293835,10.272888327862281,3.5596397,-0.05033863,-0.033558935,-0.14611466,0.5038736,1,1,0
33961024,63.319224547293835,10.272888327862281,3.5596397,-0.05033863,-0.033558935,-0.14611466,0.42368525,1,1,0
1404924685,63.31919350615136,10.272922688749896,3.9365623,-3.5019557,1.6820359,-0.52303725,-0.14029464,1,1,0
