timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
31409382,24.87683,24.887197,0.0,0.082809456,0.0,0.985344,0.99997187,1.0,nan,6,4.1478662,4.1478662,4.1478662,4.1478662,4.1478662,4.1478662,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
31709074,24.87281,24.88148,0.0,0.07914955,0.0,0.99123716,0.9999717,1.0,nan,6,4.146913,4.146913,4.146913,4.146913,4.146913,4.146913,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
32009092,24.875322,24.875177,0.0,0.09468836,0.0,1.0012159,0.9999714,1.0,nan,6,4.145863,4.145863,4.145863,4.145863,4.145863,4.145863,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
32309075,24.901953,24.872423,0.0,0.11363126,0.0,1.0122472,0.999971,1.0,nan,6,4.145404,4.145404,4.145404,4.145404,4.145404,4.145404,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
32609117,24.883863,24.86985,0.05106613,0.09338876,0.0,1.0176791,0.99997085,1.0,nan,6,4.144975,4.144975,4.144975,4.144975,4.144975,4.144975,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
32909074,24.866278,24.870193,0.0,0.100381516,0.0,1.0274284,0.99997056,1.0,nan,6,4.1450324,4.1450324,4.1450324,4.1450324,4.1450324,4.1450324,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
33209097,24.84065,24.870718,0.0,0.096515425,0.0,1.0352032,0.99997044,1.0,nan,6,4.1451197,4.1451197,4.1451197,4.1451197,4.1451197,4.1451197,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
33509074,24.807486,24.86866,0.0,0.07461951,0.0,1.039872,0.9999704,1.0,nan,6,4.144777,4.144777,4.144777,4.144777,4.144777,4.144777,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
33809445,24.835625,24.869394,0.02712888,0.10338788,0.0,1.0518976,0.9999701,1.0,nan,6,4.144899,4.144899,4.144899,4.144899,4.144899,4.144899,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
34109074,24.827585,24.871027,0.0,0.08295663,0.0,1.0564293,0.99996996,1.0,nan,6,4.145171,4.145171,4.145171,4.145171,4.145171,4.145171,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
34409101,24.856228,24.87389,0.0,0.083491236,0.0,1.0635993,0.9999698,1.0,nan,6,4.1456485,4.1456485,4.1456485,4.1456485,4.1456485,4.1456485,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
34709074,24.925571,24.87259,0.0,0.15220167,0.0,1.08329,0.999969,1.0,nan,6,4.1454315,4.1454315,4.1454315,4.1454315,4.1454315,4.1454315,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
35009099,24.847181,24.873722,0.38618758,0.13701475,0.0,1.0930811,0.9999687,1.0,nan,6,4.1456203,4.1456203,4.1456203,4.1456203,4.1456203,4.1456203,0.0,0.0,0.0,0.0,0.0,30000,0,0,0,0,0,0,1,0,0,1,0,0
