timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
50598382,50598382,43,0,0,0,1465,1530,1546,1561,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
53104008,53104008,43,0,0,0,1465,1530,1548,1367,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
53594639,53594639,43,0,0,0,1465,1530,1556,1450,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
54107914,54107914,43,0,0,0,1465,1530,1501,1506,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
54602095,54602095,43,0,0,0,1465,1530,1561,1474,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
55109917,55109917,43,0,0,0,1465,1530,1594,1413,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
55598758,55598758,43,0,0,0,1465,1530,1595,1448,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
56092420,56092420,43,0,0,0,1465,1524,1594,1495,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
56610640,56610640,43,0,0,0,1465,1523,1573,1495,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
57099433,57099433,43,0,0,0,1465,1505,1630,1474,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
57612570,57612570,43,0,0,0,1465,1462,1678,1483,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
58101443,58101443,43,0,0,0,1465,1432,1718,1495,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
58590234,58590234,43,0,0,0,1465,1399,1710,1483,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
59103405,59103405,43,0,0,0,1465,1398,1707,1482,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
59592210,59592210,43,0,0,0,1470,1361,1690,1501,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
60105514,60105514,43,0,0,0,1459,1383,1680,1502,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
60594285,60594285,43,0,0,0,1490,1384,1666,1504,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
61107521,61107521,43,0,0,0,1559,1369,1679,1507,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
61596320,61596320,43,0,0,0,1645,1361,1702,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
62109694,62109694,43,0,0,0,1680,1330,1732,1511,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
62598334,62598334,43,0,0,0,1756,1332,1717,1515,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
63087137,63087137,43,0,0,0,1735,1313,1731,1521,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
63600409,63600409,43,0,0,0,1749,1294,1725,1517,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
64089317,64089317,43,0,0,0,1823,1282,1728,1519,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
64602411,64602411,43,0,0,0,1832,1275,1718,1539,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
65091284,65091284,43,0,0,0,1812,1243,1718,1537,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
65604486,65604486,43,0,0,0,1813,1239,1718,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
66093280,66093280,43,0,0,0,1875,1226,1720,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
66606492,66606492,43,0,0,0,1847,1227,1715,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
67095294,67095294,43,0,0,0,1851,1223,1713,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
67608530,67608530,43,0,0,0,1912,1210,1713,1539,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
68097359,68097359,43,0,0,0,1894,1216,1726,1543,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
68610635,68610635,43,0,0,0,1876,1212,1724,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
69099371,69099371,43,0,0,0,1827,1214,1727,1537,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
69612616,69612616,43,0,0,0,1875,1204,1730,1529,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
70101555,70101555,43,0,0,0,1877,1218,1735,1534,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
70590241,70590241,43,0,0,0,1848,1252,1742,1539,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
71103445,71103445,43,0,0,0,1836,1302,1752,1537,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
71592266,71592266,43,0,0,0,1870,1317,1752,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
72105494,72105494,43,0,0,0,1832,1354,1756,1540,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
72594347,72594347,43,0,0,0,1833,1351,1756,1540,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
73107566,73107566,43,0,0,0,1750,1411,1761,1536,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
73596330,73596330,43,0,0,0,1644,1455,1761,1540,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
74109641,74109641,43,0,0,0,1539,1485,1763,1539,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
74598427,74598427,43,0,0,0,1496,1501,1762,1519,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
75087218,75087218,43,0,0,0,1663,1474,1752,1536,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
75600559,75600559,43,0,0,0,1584,1423,1759,1529,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
76113675,76113675,43,0,0,0,1506,1392,1757,1542,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
76602482,76602482,43,0,0,0,1559,1380,1749,1541,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
77091359,77091359,43,0,0,0,1556,1405,1777,1573,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
77604491,77604491,43,0,0,0,1481,1393,1724,1547,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
78093310,78093310,43,0,0,0,1476,1522,1758,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
78606596,78606596,43,0,0,0,1485,1416,1753,1541,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
79095365,79095365,43,0,0,0,1484,1423,1756,1540,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
79608611,79608611,43,0,0,0,1471,1486,1751,1537,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
80097375,80097375,43,0,0,0,1477,1489,1758,1539,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
80610685,80610685,43,0,0,0,1500,1445,1755,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
81099454,81099454,44,0,0,0,1505,1394,1778,1536,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
81588205,81588205,43,0,0,0,1495,1419,1766,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
82101488,82101488,43,0,0,0,1477,1437,1769,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
82590355,82590355,43,0,0,0,1479,1429,1765,1536,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
83103518,83103518,43,0,0,0,1515,1403,1778,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
83592287,83592287,43,0,0,0,1554,1405,1771,1536,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
84105534,84105534,43,0,0,0,1540,1400,1770,1540,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
84594373,84594373,43,0,0,0,1531,1395,1781,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
85107613,85107613,43,0,0,0,1522,1390,1783,1538,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
85596372,85596372,43,0,0,0,1517,1388,1780,1537,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
86109642,86109642,43,0,0,0,1504,1373,1786,1535,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
86598405,86598405,44,0,0,0,1501,1312,1783,1542,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
87111694,87111694,43,0,0,0,1489,1345,1783,1542,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
