timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
32109797,32108646,592905,0.15860143,-0.09324278,0.44496116,nan,0,1
33109792,33108646,592905,0.16603489,-0.08725949,0.44949102,nan,0,1
34109795,34108646,592905,0.16900826,-0.103713594,0.44949102,nan,0,1
35109796,35108655,592905,0.1526547,-0.09324278,0.44496116,nan,0,1
36109795,36108646,592905,0.18090174,-0.060334563,0.45704082,nan,0,1
37109779,37108648,592905,0.1942819,-0.019947212,0.43590143,nan,0,1
38109777,38108646,592905,0.14819466,0.006977708,0.45704082,nan,0,1
39109794,39108648,592905,0.14968134,-0.03640132,0.45855075,nan,0,1
40109795,40108646,592905,0.1452213,-0.0019972653,0.4540209,nan,0,1
41109794,41108646,592905,0.14968134,0.012961004,0.46459055,nan,0,1
42109796,42108646,592905,0.14819466,0.006977708,0.46006072,nan,0,1
43109778,43108646,592905,0.16454819,0.015952682,0.4540209,nan,0,1
44109798,44108646,592905,0.1630615,0.0024902513,0.4630806,nan,0,1
45109794,45108646,592905,0.14076123,0.012961004,0.46006072,nan,0,1
46109796,46108646,592905,0.15711477,-0.0049889428,0.4630806,nan,0,1
47109795,47108646,592905,0.14670795,-0.0064847223,0.45251095,nan,0,1
48109794,48108646,592905,0.12886772,0.006977708,0.46006072,nan,0,1
49109780,49108647,592905,0.12292098,0.0009944125,0.4661005,nan,0,1
50109793,50108647,592905,0.12738106,-0.0005014264,0.4630806,nan,0,1
53109798,53108646,592905,0.076833725,-0.0019972653,0.4630806,nan,0,1
54109798,54108646,592905,0.081293784,-0.010972239,0.46459055,nan,0,1
55109777,55108645,592905,0.066426925,-0.012468077,0.4661005,nan,0,1
56109795,56108646,592905,0.078320414,-0.0019972653,0.47667018,nan,0,1
57109794,57108646,592905,0.10656744,-0.0005014264,0.46761045,nan,0,1
58109795,58108646,592905,0.11697424,0.012961004,0.46761045,nan,0,1
59109797,59108648,592905,0.067913614,0.01894436,0.45251095,nan,0,1
60109795,60108646,592905,0.030746471,0.015952682,0.47667018,nan,0,1
