timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
32093303,32092870,2424842,-1.0038235,5.5680428,-4.8828654,43.859196,0,0,0,0
33095372,33094909,2424842,12.712812,8.52655,-4.6607127,43.955044,0,0,0,0
34094940,34094506,2424842,-5.03653,-14.416576,-20.492626,43.859196,0,0,0,0
35094571,35094102,2424842,9.614716,2.7972257,-4.347471,43.667507,0,0,0,0
36094134,36093698,2424842,4.21336,0.38699007,-15.68768,43.955044,0,0,0,0
37096174,37095739,2424842,-4.117592,0.84362966,-9.226383,43.715427,0,0,0,0
38095766,38095335,2424842,12.184746,5.2080417,-15.436943,43.955044,0,0,0,0
39095397,39094930,2424842,3.5246642,1.3156139,-5.253278,44.050888,0,0,0,0
40094958,40094526,2424842,-1.6437284,1.3176816,-9.597702,43.76335,0,0,0,0
41097045,41096610,2424842,-5.225019,-2.3824484,-0.77876854,43.859196,0,0,0,0
42094151,42093718,2424842,1.4430507,-4.188547,-16.246183,44.194656,0,0,0,0
43093783,43093314,2424842,2.552219,0.94411355,-1.186327,43.955044,0,0,0,0
44095789,44095355,2424842,-5.088767,-1.5688552,-7.2753263,44.24258,0,0,0,0
45097835,45097397,2424842,4.0327063,-3.7314723,-10.850958,44.050888,0,0,0,0
46094981,46094546,2424842,-4.1058383,-5.6834,-15.467414,44.050888,0,0,0,0
47094607,47094142,2424842,3.6635277,-3.1204429,-10.453485,44.434273,0,0,0,0
48096659,48096225,2424842,2.2279136,2.9596689,-4.7557554,44.290504,0,0,0,0
49093768,49093334,2424842,10.375164,1.5779966,-20.809097,44.290504,0,0,0,0
50095810,50095375,2424842,5.770897,-0.8597361,-11.319351,44.434273,0,0,0,0
53094605,53094162,2424842,-0.2311493,9.077072,30.59224,44.290504,0,0,0,0
54094222,54093758,2424842,18.43695,2.0809603,7.389305,44.24258,0,0,0,0
55096229,55095797,2424842,23.974232,11.846075,-11.229242,44.434273,0,0,0,0
56093386,56092951,2424842,-4.906808,4.490652,14.366081,44.72181,0,0,0,0
57095414,57094990,2424842,0.41310862,6.5675135,-5.934573,44.24258,0,0,0,0
58095028,58094586,2424842,0.048319343,-7.593102,-6.415155,44.38635,0,0,0,0
59097064,59096626,2424842,0.7047659,4.3974957,0.7043306,44.72181,0,0,0,0
60094221,60093779,2424842,3.2844095,1.8004397,-15.682457,44.482193,0,0,0,0
61096283,61095845,2424842,2.9692457,2.9661984,0.61160976,44.62596,0,0,0,0
62095836,62095413,2424842,-0.097074,5.003011,2.6331866,44.290504,0,0,0,0
63092988,63092565,2424842,1.6524345,5.8596997,2.8612888,44.817654,0,0,0,0
64095030,64094606,2424842,-1.4016963,-6.0081406,-19.828344,44.769733,0,0,0,0
65094644,65094202,2424842,-0.9428802,3.5782435,-2.7903333,44.57804,0,0,0,0
66096680,66096242,2424842,-1.631975,-3.337082,-17.722317,44.9135,0,0,0,0
67093837,67093394,2424842,-0.29688102,-1.1609702,-2.0777318,44.72181,0,0,0,0
68095906,68095434,2424842,-2.4963546,-2.7321835,-2.2345884,44.817654,0,0,0,0
69095452,69095030,2424842,-2.7624736,-5.5954676,-16.18611,44.9135,0,0,0,0
