timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
97095184,97094769,3670050,-4.599022,10.064027,1.0862494,30.811506,0,0,0,0
98092681,98092268,3670050,-1.2988545,-11.192175,-2.5007436,30.884945,0,0,0,0
99095182,99094768,3670050,-2.6822243,-9.527007,-12.388557,30.86781,0,0,0,0
100095191,100094779,3670050,2.425087,8.76206,-23.861572,30.911873,0,0,0,0
101095150,101094772,3670050,0.50012213,2.835267,9.074024,30.921392,0,0,0,0
102092681,102092268,3670050,2.0879834,-8.397183,-11.855609,30.943697,0,0,0,0
103095146,103094769,3670050,1.8049622,-8.3132,-8.581883,30.945873,0,0,0,0
104095589,104095114,3670050,1.673547,4.224025,-2.500635,30.953043,0,0,0,0
105092735,105092298,3670050,-0.53007627,6.2869344,-12.604275,30.931458,0,0,0,0
106095213,106094798,3670050,-0.23894134,2.5342624,-6.5586767,31.017136,0,0,0,0
107095226,107094810,3670050,2.315193,-0.3383007,-6.764578,31.002447,0,0,0,0
108095183,108094768,3670050,-0.12354081,0.66726404,-4.8937483,31.019585,0,0,0,0
109092678,109092267,3670050,1.363019,-3.1320949,-9.892364,31.031824,0,0,0,0
110095146,110094769,3670050,1.7610683,-2.2521458,-10.809821,31.049232,0,0,0,0
111095145,111094769,3670050,1.9252043,-3.6846764,-12.565569,31.09547,0,0,0,0
112092680,112092268,3670050,0.6687006,1.724783,-8.823352,31.075888,0,0,0,0
113095241,113094825,3670050,1.9531897,4.2492294,-20.22119,31.119951,0,0,0,0
118095182,118094768,3670050,-0.81043726,0.23750482,-12.246821,31.190943,0,0,0,0
119092679,119092267,3670050,1.3421896,-0.9263166,-10.685322,31.210526,0,0,0,0
120095183,120094768,3670050,-1.1073183,-0.04333505,-10.518925,31.186047,0,0,0,0
121095184,121094768,3670050,0.63589996,-2.5986667,-8.845857,31.220318,0,0,0,0
122095182,122094768,3670050,2.6491842,5.0864816,-9.1255,31.298653,0,0,0,0
123092789,123092355,3670050,0.23247698,3.1608253,-8.233899,31.288862,0,0,0,0
124095184,124094769,3670050,3.3188426,-5.1329293,-16.278177,31.293758,0,0,0,0
125095184,125094767,3670050,-2.2773647,-0.28491,-13.278482,31.247246,0,0,0,0
126092644,126092269,3670050,0.26070198,-0.9547544,-8.496756,31.28587,0,0,0,0
127095184,127094768,3670050,0.29927522,0.4177882,-5.6773705,31.335373,0,0,0,0
128095185,128094769,3670050,0.42329487,4.0596085,-8.693825,31.3623,0,0,0,0
129095266,129094851,3670050,-2.8115113,-3.134489,9.832029,31.352509,0,0,0,0
130092678,130092267,3670050,-3.5632906,-6.6575565,-41.068462,31.352509,0,0,0,0
131095183,131094767,3670050,-0.46830586,-0.31866825,-35.792835,31.42595,0,0,0,0
132095145,132094768,3670050,-0.5770026,0.866169,-36.81564,31.46539,0,0,0,0
133092683,133092268,3670050,-1.8974048,7.6808386,12.161587,31.514076,0,0,0,0
134095146,134094768,3670050,-1.2851542,2.8937917,11.006677,31.462667,0,0,0,0
135095219,135094844,3670050,0.03777518,9.165536,-11.824963,31.459948,0,0,0,0
136095181,136094768,3670050,-0.9138668,9.003395,-13.232275,31.455324,0,0,0,0
137092683,137092268,3670050,-2.2383392,-6.6996946,4.65361,31.4847,0,0,0,0
138095184,138094768,3670050,-2.678154,6.011122,9.744162,31.506731,0,0,0,0
139095183,139094768,3670050,-0.32010475,-10.123404,-15.67436,31.543451,0,0,0,0
140092682,140092268,3670050,0.4436456,-3.1203632,-29.433119,31.52142,0,0,0,0
141095234,141094858,3670050,2.9839735,1.2513695,-27.643187,31.557867,0,0,0,0
142095183,142094768,3670050,-2.9417558,-11.77205,-16.777847,31.634027,0,0,0,0
143095183,143094767,3670050,0.99215716,1.1303027,-16.408901,31.597307,0,0,0,0
144092687,144092272,3670050,0.52097833,-2.2397757,-6.0953984,31.636475,0,0,0,0
145095183,145094768,3670050,2.9439104,-1.0766726,-8.468291,31.585068,0,0,0,0
146095183,146094768,3670050,1.37499,-1.761893,-5.96252,31.638924,0,0,0,0
147092881,147092468,3670050,1.246182,0.9876082,-8.764693,31.685434,0,0,0,0
148095179,148094767,3670050,0.2647987,-1.8897433,-6.5270724,31.65361,0,0,0,0
149095184,149094768,3670050,1.7705121,3.3023226,-10.843819,31.680538,0,0,0,0
150095187,150094770,3670050,0.92847145,2.1088128,-10.033621,31.675644,0,0,0,0
151092682,151092269,3670050,2.603455,-3.0561984,-11.291056,31.71481,0,0,0,0
152095184,152094769,3670050,0.012449849,2.602258,-11.085633,31.712362,0,0,0,0
153095339,153094901,3670050,-0.086430684,1.2018893,-7.968861,31.705019,0,0,0,0
154092681,154092267,3670050,-0.33877954,1.1712435,-5.5284514,31.778458,0,0,0,0
155095182,155094767,3670050,0.6897695,-0.92607725,-7.8204207,31.724602,0,0,0,0
156095185,156094768,3670050,0.48722005,0.9974244,-7.7816343,31.749083,0,0,0,0
157095184,157094769,3670050,-1.9996372,-2.2761676,-6.4562044,31.793146,0,0,0,0
158092682,158092269,3670050,-1.1552023,4.677552,-17.015831,31.773561,0,0,0,0
159095366,159094940,3670050,0.671813,8.520485,-13.05223,31.810282,0,0,0,0
160095143,160094767,3670050,-4.487,-11.899714,-33.43343,31.848906,0,0,0,0
163095183,163094768,3670050,-0.14173675,2.232593,13.772645,31.817625,0,0,0,0
164095146,164094768,3670050,-0.36631286,-2.113282,8.838329,31.859785,0,0,0,0
165092934,165092498,3670050,-0.341892,11.823765,1.8634071,31.888617,0,0,0,0
166095183,166094768,3670050,-2.019509,-9.9246855,-8.35313,31.910648,0,0,0,0
167095182,167094767,3670050,-0.5971139,-5.902426,0.1733402,31.903305,0,0,0,0
168092729,168092315,3670050,0.1436521,-4.1934443,1.219367,31.905752,0,0,0,0
169095184,169094769,3670050,-0.12665327,7.889613,14.313974,31.959608,0,0,0,0
170095182,170094768,3670050,-1.1774684,-8.153214,-4.5164223,31.95716,0,0,0,0
171095337,171094961,3670050,-0.9911995,-4.713119,-42.635677,31.954985,0,0,0,0
172092679,172092268,3670050,-3.4914644,-10.701364,-22.418108,31.991432,0,0,0,0
173095181,173094767,3670050,-3.6470876,-9.606256,-15.924793,31.993881,0,0,0,0
174095183,174094768,3670050,0.6138733,0.48985368,-36.01526,32.011017,0,0,0,0
175092682,175092269,3670050,-2.566584,11.890802,-5.0869603,32.01836,0,0,0,0
176092681,176092268,3670050,1.9867085,6.453092,-29.053158,32.013466,0,0,0,0
177095353,177094979,3670050,3.2154129,14.496626,-11.236787,32.047462,0,0,0,0
178095181,178094768,3670050,1.37092,6.486132,-1.5150508,32.07956,0,0,0,0
179092641,179092267,3670050,0.6020087,-1.5016965,-0.28091967,32.033863,0,0,0,0
180095184,180094769,3670050,0.027772741,0.09026141,-10.22827,32.013466,0,0,0,0
181095184,181094767,3670050,0.9859323,-2.6697743,-9.564597,32.04284,0,0,0,0
