timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
31109778,0.11251418,-0.082771994,0.4540209
31289794,0.12440769,-0.088755295,0.4630806
31309796,0.114000864,-0.096234456,0.45251095
31329779,0.12292098,-0.096234456,0.46459055
31349793,0.12292098,-0.07978032,0.45704082
31369798,0.12440769,-0.08576365,0.45704082
31389798,0.13035442,-0.07978032,0.45553085
31409797,0.1110275,-0.09025113,0.45855075
31429781,0.1110275,-0.09025113,0.45855075
31449794,0.1110275,-0.09025113,0.45855075
31469792,0.108054124,-0.08576365,0.4630806
31489795,0.108054124,-0.08576365,0.4630806
31509795,0.12292098,-0.0842678,0.44345123
31529795,0.13035442,-0.09324278,0.45251095
31549777,0.11697424,-0.0842678,0.45251095
31569792,0.11697424,-0.0842678,0.45251095
31589860,0.12292098,-0.088755295,0.4630806
31609796,0.11697424,-0.07978032,0.45553085
31629798,0.10656744,-0.0992261,0.46459055
31649778,0.10656744,-0.0992261,0.46459055
31669793,0.12292098,-0.096234456,0.44949102
31689793,0.11994762,-0.0992261,0.45251095
31709796,0.11994762,-0.09324278,0.46761045
31729795,0.11994762,-0.09324278,0.46761045
31749845,0.10656744,-0.09324278,0.4630806
31769777,0.13035442,-0.09025113,0.45855075
31789793,0.1452213,-0.09174697,0.4540209
31809867,0.1452213,-0.09174697,0.4540209
31829796,0.13481447,-0.088755295,0.4630806
31849797,0.13481447,-0.088755295,0.4630806
31869780,0.15414141,-0.088755295,0.4479811
31889793,0.14819466,-0.08576365,0.4479811
31909794,0.14819466,-0.08576365,0.4479811
31929797,0.13332778,-0.09324278,0.45251095
31949795,0.16454819,-0.088755295,0.451001
31969804,0.15414141,-0.09174697,0.46006072
31989778,0.15414141,-0.09174697,0.46006072
32009795,0.16900826,-0.096234456,0.45251095
32029797,0.16900826,-0.096234456,0.45251095
32049795,0.17049494,-0.082771994,0.4540209
32069795,0.17198162,-0.0992261,0.44949102
32089778,0.15860143,-0.09324278,0.44496116
32109797,0.15860143,-0.09324278,0.44496116
32129793,0.17495501,-0.082771994,0.451001
32149794,0.17495501,-0.082771994,0.451001
32169819,0.17495501,-0.09174697,0.4479811
32189796,0.17495501,-0.09174697,0.4479811
32209801,0.1838751,-0.088755295,0.44194126
32229777,0.18238842,-0.08725949,0.44496116
32249796,0.17644167,-0.0842678,0.44496116
32269795,0.17644167,-0.0842678,0.44496116
32289794,0.19874197,-0.08725949,0.44496116
32309781,0.19874197,-0.08725949,0.44496116
32329794,0.18833515,-0.08725949,0.44949102
32349792,0.18833515,-0.09025113,0.44345123
32369795,0.18833515,-0.09025113,0.44345123
32389794,0.18090174,-0.10072194,0.4479811
32409789,0.17644167,-0.1052094,0.451001
32429793,0.17644167,-0.1052094,0.451001
32449794,0.17049494,-0.096234456,0.4374114
32469803,0.17049494,-0.096234456,0.4374114
32489795,0.1838751,-0.10072194,0.45704082
32509795,0.1838751,-0.096234456,0.44496116
32529778,0.1838751,-0.096234456,0.44496116
32549794,0.17644167,-0.096234456,0.45251095
32569801,0.17644167,-0.096234456,0.45251095
32589795,0.16603489,-0.1052094,0.45553085
