timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
31109065,5.076489,0.0,0,0,3,0,0,0,0
31609086,5.0963287,0.0,0,0,3,0,0,0,0
32109071,5.0609803,0.0,0,0,3,0,0,0,0
32609108,5.0665193,0.0,0,0,3,0,0,0,0
33109064,5.071756,0.0,0,0,3,0,0,0,0
33609070,5.0452695,0.0,0,0,3,0,0,0,0
34109065,5.067627,0.0,0,0,3,0,0,0,0
34609067,5.0687346,0.0,0,0,3,0,0,0,0
35109067,5.1218076,0.0,0,0,3,0,0,0,0
35609096,5.069641,0.0,0,0,3,0,0,0,0
36109092,5.072763,0.0,0,0,3,0,0,0,0
36609065,5.069943,0.0,0,0,3,0,0,0,0
37109068,5.060879,0.0,0,0,3,0,0,0,0
37609090,5.0341916,0.0,0,0,3,0,0,0,0
38109064,5.064203,0.0,0,0,3,0,0,0,0
38609233,5.068634,0.0,0,0,3,0,0,0,0
39109065,5.0536284,0.0,0,0,3,0,0,0,0
39609082,5.066418,0.0,0,0,3,0,0,0,0
40109065,5.0673246,0.0,0,0,3,0,0,0,0
40609068,5.0653105,0.0,0,0,3,0,0,0,0
41109067,5.105292,0.0,0,0,3,0,0,0,0
41609086,5.058664,0.0,0,0,3,0,0,0,0
42109203,5.0708494,0.0,0,0,3,0,0,0,0
42609083,5.057153,0.0,0,0,3,0,0,0,0
43109065,5.070648,0.0,0,0,3,0,0,0,0
43609109,5.0351987,0.0,0,0,3,0,0,0,0
44109066,5.062491,0.0,0,0,3,0,0,0,0
44609100,5.06239,0.0,0,0,3,0,0,0,0
45109064,5.069238,0.0,0,0,3,0,0,0,0
45609071,5.062491,0.0,0,0,3,0,0,0,0
46109065,5.069037,0.0,0,0,3,0,0,0,0
46609065,5.0748777,0.0,0,0,3,0,0,0,0
47109064,5.0270414,0.0,0,0,3,0,0,0,0
47609090,5.0635986,0.0,0,0,3,0,0,0,0
48109065,5.0683317,0.0,0,0,3,0,0,0,0
48609076,5.0539308,0.0,0,0,3,0,0,0,0
49109067,5.0684323,0.0,0,0,3,0,0,0,0
49609091,5.067627,0.0,0,0,3,0,0,0,0
