timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
31100651,0.10031824,0.10031857,0.21347581,0.2785247,0.2785248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.40238,0.0,0.0,nan,0.0,0.0,0.09033022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31310796,0.10033286,0.10033319,0.21350439,0.27851653,0.27851662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.402222,0.0,0.0,nan,0.0,0.0,0.090328075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31511198,0.10020416,0.10020448,0.2135459,0.27830017,0.2783003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401975,0.0,0.0,nan,0.0,0.0,0.09032748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31711606,0.10028023,0.100280546,0.2136153,0.27853653,0.27853662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.40185,0.0,0.0,nan,0.0,0.0,0.09032641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31912015,0.10116453,0.1011649,0.21363889,0.2785293,0.2785294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401744,0.0,0.0,nan,0.0,0.0,0.090325534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32102647,0.10470228,0.10470284,0.21366209,0.2785171,0.27851722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.404245,0.0,0.0,nan,0.0,0.0,0.09032482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32307942,0.10978041,0.10977902,0.21374162,0.2785166,0.2785167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401459,0.0,0.0,nan,0.0,0.0,0.09032422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32513238,0.1145453,0.1145393,0.21377085,0.27856752,0.27856758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401905,0.0,0.0,nan,0.0,0.0,0.090323664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32713646,0.117919475,0.11791332,0.21380377,0.27866957,0.27866957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.401863,0.0,0.0,nan,0.0,0.0,0.090323165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32909166,0.120059446,0.12005468,0.21387184,0.2790574,0.2790575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.404463,0.0,0.0,nan,0.0,0.0,0.090322785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
