timestamp,timestamp_sample,device_id,error_count,pressure,temperature
155107420,155107411,3997706,0,1017.0,42.42
156112911,156112901,3997706,0,1017.58997,42.42
157107863,157107853,3997706,0,1018.20996,42.42
158093743,158093733,3997706,0,1018.68,42.43
159099478,159099468,3997706,0,1019.01996,42.44
160105384,160105374,3997706,0,1019.02997,42.44
163111759,163111749,3997706,0,1017.76996,42.45
164108410,164108400,3997706,0,1017.32,42.46
165093357,165093347,3997706,0,1017.18,42.469997
166098881,166098871,3997706,0,1016.52997,42.469997
167104073,167104063,3997706,0,1016.16,42.48
168109540,168109530,3997706,0,1015.47,42.48
169104691,169104679,3997706,0,1014.83997,42.489998
170110192,170110182,3997706,0,1014.3,42.489998
171105842,171105831,3997706,0,1013.32996,42.5
172111334,172111324,3997706,0,1012.75995,42.5
173097009,173096998,3997706,0,1012.26996,42.51
174102930,174102920,3997706,0,1011.83997,42.51
175108416,175108406,3997706,0,1011.64996,42.51
176104305,176104294,3997706,0,1011.70996,42.52
177110049,177110039,3997706,0,1011.83997,42.52
178105745,178105735,3997706,0,1012.02997,42.52
179111453,179111443,3997706,0,1012.11,42.52
180097332,180097322,3997706,0,1012.27997,42.53
181103056,181103047,3997706,0,1012.45996,42.53
182108542,182108533,3997706,0,1012.74,42.53
183103670,183103660,3997706,0,1013.02997,42.53
184108954,184108945,3997706,0,1013.33997,42.54
185114627,185114617,3997706,0,1013.68,42.54
186110039,186110029,3997706,0,1013.87,42.54
187095499,187095489,3997706,0,1013.94,42.55
188101180,188101170,3997706,0,1013.82996,42.55
189105913,189105903,3997706,0,1013.63,42.55
190111643,190111633,3997706,0,1013.92,42.559998
191107541,191107531,3997706,0,1014.49,42.55
192113030,192113020,3997706,0,1015.17,42.559998
193108477,193108467,3997706,0,1015.63,42.57
194093408,194093397,3997706,0,1015.97,42.57
195099325,195099314,3997706,0,1016.35,42.579998
196104331,196104321,3997706,0,1016.61,42.579998
197110004,197109994,3997706,0,1016.81,42.579998
198104941,198104931,3997706,0,1017.00995,42.579998
199110701,199110690,3997706,0,1016.97,42.59
200106344,200106334,3997706,0,1016.79,42.59
201111342,201111332,3997706,0,1016.81,42.6
202097034,202097024,3997706,0,1017.16,42.6
203102949,203102939,3997706,0,1017.83997,42.6
204108188,204108178,3997706,0,1018.38995,42.61
205113844,205113834,3997706,0,1018.97,42.61
206109559,206109549,3997706,0,1019.26996,42.62
207105015,207105005,3997706,0,1019.22,42.62
208110687,208110677,3997706,0,1019.05,42.62
209095939,209095928,3997706,0,1018.75995,42.62
210102067,210102057,3997706,0,1018.07996,42.629997
211107278,211107268,3997706,0,1017.52997,42.629997
212103932,212103921,3997706,0,1017.01996,42.629997
213108764,213108753,3997706,0,1016.18,42.629997
214104398,214104388,3997706,0,1015.52997,42.64
215110546,215110536,3997706,0,1015.20996,42.649998
216095739,216095729,3997706,0,1014.49,42.649998
217101680,217101670,3997706,0,1014.18,42.649998
218107429,218107419,3997706,0,1013.99,42.66
219113331,219113320,3997706,0,1013.89996,42.649998
220108299,220108289,3997706,0,1013.76996,42.649998
221103759,221103749,3997706,0,1013.73,42.66
222108983,222108973,3997706,0,1013.70996,42.66
223094615,223094604,3997706,0,1013.88995,42.66
227107905,227107895,3997706,0,1015.19,42.66
228103619,228103609,3997706,0,1015.42,42.67
229109555,229109545,3997706,0,1015.68,42.67
230114356,230114346,3997706,0,1015.88,42.67
231099968,231099958,3997706,0,1015.99,42.67
232105376,232105366,3997706,0,1016.13,42.67
233110873,233110862,3997706,0,1016.38995,42.68
