timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
53110210,53109774,3670050,3670050,0.00040664524,0.00010689567,-0.00065462285,0.03698359,-0.023197956,-0.03748762,5001,5001,0
53610207,53609770,3670050,3670050,3.3245607e-05,0.0010126474,0.00014242613,0.017305778,0.011363615,-0.037626136,5003,5003,0
54110226,54109773,3670050,3670050,0.0015485949,-0.00094373024,0.001050124,0.025496166,-0.0012037779,-0.037316494,5004,5004,0
54610206,54609769,3670050,3670050,-0.0019209853,0.0025504492,-0.0005577852,0.03269711,-0.0044591255,-0.081227206,5000,5000,0
55110521,55110086,3670050,3670050,0.0005884369,9.80483e-06,-0.00065262354,0.0068764696,-0.0030445694,-0.06648954,5316,5316,0
55610213,55609772,3670050,3670050,-4.9091905e-05,-0.00047044785,0.0005898908,0.006329654,-0.0025073367,0.0017958098,5003,5003,0
56110204,56109770,3670050,3670050,0.00184852,-0.0012139775,2.4836572e-05,0.040801007,0.04246802,-0.079235464,5004,5004,0
56610168,56609769,3670050,3670050,-0.0011847549,-0.0009750674,-0.00021506641,-0.0017410751,-0.01376584,-0.06292065,5000,5000,0
57110446,57109770,3670050,3670050,-0.0013997946,7.474938e-05,-0.00023971769,-0.000847978,-0.026261063,-0.063255504,4981,4981,0
57610224,57609769,3670050,3670050,-0.0012698907,0.000111160836,-0.00046674436,0.0012125013,0.0024018895,-0.08545688,5000,5000,0
58110171,58109771,3670050,3670050,0.0005191043,0.00055209413,0.00043597101,0.006829228,-0.013394849,-0.029739643,4957,4957,0
58610319,58609861,3670050,3670050,9.1495145e-05,0.000633042,-0.0004991898,0.00807098,0.020510215,-0.07042593,4888,4888,0
59110207,59109771,3670050,3670050,0.0018852467,0.0005709958,0.00024716006,0.007328204,-0.00022357421,-0.026499636,5002,5002,0
59615245,59614808,3670050,3670050,-0.0008640668,0.0006078057,9.922066e-05,0.0006931204,-0.016775353,-0.060064837,5037,5037,0
60110221,60109771,3670050,3670050,0.00021828101,-0.00039111573,2.8255148e-05,0.0062410757,0.015466611,-0.047797933,5002,5002,0
60610234,60609770,3670050,3670050,0.0005840609,-0.00033476995,-0.00013242656,0.004704297,0.01892915,-0.07109413,5000,5000,0
61110538,61110077,3670050,3670050,0.0014024378,0.0007773514,0.00024694693,0.0044323374,0.0020370316,-0.028160855,5308,5308,0
61610210,61609769,3670050,3670050,0.00055801054,0.0010436352,-8.1605795e-05,0.0026614058,-0.016887039,-0.05639623,5000,5000,0
62110207,62109772,3670050,3670050,0.00027979843,0.0008830643,0.001254711,0.0065883338,-0.012346646,-0.03672398,4989,4989,0
62610172,62609771,3670050,3670050,0.002502808,0.0005453474,-0.00025910873,0.0076946425,0.0033884565,-0.027304465,5001,5001,0
63110206,63109770,3670050,3670050,-0.00074069813,0.0005530726,0.0015838171,0.0066739246,0.006343455,-0.0841018,5001,5001,0
63610220,63609768,3670050,3670050,-0.0019294467,0.000542164,0.0005686378,0.0046645496,-0.008986192,-0.06811013,5000,5000,0
64110239,64109802,3670050,3670050,0.0017149674,0.00021810055,0.00043993158,0.009830588,0.007631617,-0.031843677,5032,5032,0
64610281,64609885,3670050,3670050,-0.00060576946,0.0010143452,0.001802677,0.007651816,-0.017457413,-0.04625259,4890,4890,0
65110210,65109773,3670050,3670050,-0.0013779874,0.0015870675,0.0011087719,0.0071322564,-0.007707075,-0.07300205,5004,5004,0
65610169,65609771,3670050,3670050,3.3309138e-05,0.0008714417,0.00079026265,0.011308539,0.000955745,-0.024892675,4970,4970,0
66110224,66109771,3670050,3670050,-2.1706854e-05,0.00046592476,0.000775771,0.0113909645,0.01318967,-0.07729746,5002,5002,0
66615258,66614821,3670050,3670050,-0.000298552,0.00048121889,0.0022295562,0.013055776,0.015504226,-0.04360269,5049,5049,0
67110583,67110149,3670050,3670050,-0.001083044,0.0010708144,0.001178616,0.009894703,-0.009551123,-0.066080555,5380,5380,0
67610211,67609772,3670050,3670050,0.0003938644,0.0010802534,0.000912447,0.009649919,-0.015078919,-0.039833356,5002,5002,0
68110204,68109770,3670050,3670050,-0.00058016425,0.0009825294,0.0018792087,0.013551968,-0.009141994,-0.016269917,4930,4930,0
68610198,68609800,3670050,3670050,-0.0022034722,0.00099951,0.0015909073,0.0128043555,-0.006082375,-0.074041076,5031,5031,0
69110218,69109770,3670050,3670050,-0.0009634393,0.00067981984,0.0010964425,0.020053938,0.014021377,-0.039840072,5001,5001,0
69610231,69609769,3670050,3670050,-0.0005179021,0.00045483565,0.0005518966,0.013631781,0.0071071023,-0.08183228,5000,5000,0
70110169,70109771,3670050,3670050,0.0005802636,0.0010602582,0.0015430717,0.020486338,0.012448231,-0.03855677,5003,5003,0
70610353,70609934,3670050,3670050,-0.0019770004,0.00029054258,0.0020112048,0.012888553,-0.005387685,-0.07046923,4920,4920,0
71110206,71109771,3670050,3670050,-0.0004323739,0.00069021096,0.0014611882,0.015979346,0.013634391,-0.031633638,5002,5002,0
71610207,71609771,3670050,3670050,-5.5176093e-05,0.00034509518,0.0005548757,0.015483886,0.018767556,-0.06654842,5002,5002,0
72110221,72109770,3670050,3670050,-0.0014989004,0.00032879974,0.0021178015,0.016035078,0.011570318,-0.06311348,5001,5001,0
72610269,72609770,3670050,3670050,0.00060689944,0.0009952716,0.0019064002,0.01468594,0.018945364,-0.042393446,5001,5001,0
73110548,73110051,3670050,3670050,-0.0013448374,0.00033094236,0.00065751513,0.014721578,-0.01618636,-0.031451575,5282,5282,0
73615204,73614768,3670050,3670050,-0.0030107563,-0.0005934496,0.0007308178,0.009856615,-0.00112576,-0.07657089,4997,4997,0
74110207,74109770,3670050,3670050,-0.002974192,-0.0006918837,0.0001461975,0.009941357,0.011135772,-0.07017831,4927,4927,0
74610206,74609771,3670050,3670050,-0.00080673525,0.00039348708,-0.0006436883,0.010791619,-0.017419225,-0.03398733,5002,5002,0
75110205,75109770,3670050,3670050,0.0026800055,1.8476843e-05,0.00016966539,0.010255411,0.009715265,-0.048968233,5001,5001,0
75610221,75609771,3670050,3670050,-0.0021776317,3.7073958e-06,0.0017609696,0.01020479,0.007422114,-0.08275204,5002,5002,0
76110179,76109780,3670050,3670050,-0.0019584205,0.0007834868,-0.001233622,0.008501972,-0.0076541295,-0.053804476,5012,5012,0
76610317,76609923,3670050,3670050,0.002365393,6.942539e-05,0.00021186328,0.0106346365,0.010993924,-0.060453307,4886,4886,0
77110206,77109771,3670050,3670050,-0.00022365396,-0.000505335,0.0009963076,0.011310181,0.008980752,-0.056577418,5003,5003,0
77610205,77609770,3670050,3670050,-0.0017469594,0.000649409,9.488457e-05,0.005618708,-0.013724728,-0.05028302,5002,5002,0
78110189,78109771,3670050,3670050,-0.00051347027,-0.0012745762,-0.001475634,0.0055503887,0.015246432,-0.04006054,5002,5002,0
78610210,78609771,3670050,3670050,0.0009819916,0.0009946809,0.00091307925,0.008808607,0.0074547213,-0.032369684,4969,4969,0
79110567,79110068,3670050,3670050,-0.0009939412,-0.0001054549,-0.00028083837,0.006963096,-0.0041376324,-0.07514087,5299,5299,0
79610172,79609772,3670050,3670050,0.00081502146,-0.00038955724,6.3933054e-05,0.00817432,0.008078945,-0.01603607,5003,5003,0
80110202,80109770,3670050,3670050,-0.0006347231,-0.00031119018,-0.00034268803,0.0044524684,-0.008518713,-0.059764862,4910,4910,0
80610206,80609770,3670050,3670050,0.00022322393,0.00026333454,6.897449e-05,0.0072249123,-0.0122722685,-0.047388036,5002,5002,0
81110223,81109788,3670050,3670050,5.3692984e-05,0.00039138235,0.00019369922,0.00885234,0.011910038,-0.051967554,5020,5020,0
81610226,81609769,3670050,3670050,0.000712621,-0.0002688436,5.3186617e-05,0.0076154834,0.013035593,-0.056791473,5001,5001,0
82110218,82109782,3670050,3670050,-0.00063643575,-0.00024413291,-0.00031710847,0.0054903715,-0.01475854,-0.042142812,5013,5013,0
82610413,82609971,3670050,3670050,0.00081834604,-0.00012603014,0.00017281016,0.0066666333,0.015650498,-0.030212425,4917,4917,0
83110209,83109771,3670050,3670050,-0.0008387155,-1.9964229e-05,3.3886154e-05,0.006120044,0.002090877,-0.073837094,5001,5001,0
83610208,83609772,3670050,3670050,0.001336582,-9.5342475e-06,-8.122592e-05,0.00648711,0.0049653556,-0.04377466,5003,5003,0
84110224,84109772,3670050,3670050,-6.8046495e-05,-0.00035528545,0.0003626904,0.0066105793,0.015207532,-0.05644606,5003,5003,0
84610351,84609770,3670050,3670050,-3.856272e-05,-0.00021715891,0.00025306866,0.007269046,0.0112389475,-0.052709926,5001,5001,0
85110587,85110092,3670050,3670050,-0.00062081835,-0.0003383017,9.357309e-06,0.011017942,0.007133061,-0.07265727,5323,5323,0
85610208,85609771,3670050,3670050,-0.0008183361,1.04198925e-05,-0.00032145967,0.007330608,-0.010917561,-0.061158452,5000,5000,0
86110193,86109770,3670050,3670050,0.0007311116,0.000326805,-0.00011136797,0.0066884947,0.00086071534,-0.020921564,4877,4877,0
86610210,86609771,3670050,3670050,0.0007489895,0.0008411663,0.0001586661,0.008373824,0.003533915,-0.03717647,5002,5002,0
87110243,87109808,3670050,3670050,0.0003168593,-0.0009517554,0.0001688922,0.008780332,0.01394194,-0.05431504,5040,5040,0
87615225,87614769,3670050,3670050,0.0005616167,0.00072606624,2.7439994e-05,0.011911079,-0.0034322005,-0.029785007,4998,4998,0
88110339,88109788,3670050,3670050,0.00095660007,0.00014777487,-6.455496e-05,0.0076363254,0.008532693,-0.027833384,5019,5019,0
88610446,88609963,3670050,3670050,0.0008256989,4.0306104e-06,0.00027616302,0.009941094,0.0045061097,-0.017887115,4886,4886,0
89110207,89109771,3670050,3670050,0.00030481385,0.00060645165,-0.0004213794,0.010904261,-0.008905612,-0.015510315,5003,5003,0
89610207,89609771,3670050,3670050,-0.000712075,9.885236e-06,-4.358249e-05,0.010858887,-0.00027040855,-0.02178866,5003,5003,0
90110224,90109770,3670050,3670050,-0.0007968107,0.00035038462,-0.0009966106,0.0084888805,-0.0058791162,-0.07283544,5001,5001,0
90610210,90609771,3670050,3670050,0.00096672616,0.0006199374,-0.00050820864,0.010470959,0.009996593,-0.032268208,5003,5003,0
91110222,91109771,3670050,3670050,-0.0006672871,0.00040036775,-0.00097109133,0.0107457945,-0.009186154,-0.060977302,5002,5002,0
91610209,91609772,3670050,3670050,0.0013120776,0.00100992,-0.0012951146,0.013306095,-0.004891309,-0.023866422,5003,5003,0
92110237,92109777,3670050,3670050,-0.0004942801,0.00062973535,-0.0011718229,0.013459084,-0.01426348,-0.054040425,4862,4862,0
92610173,92609771,3670050,3670050,-0.0002921821,0.00018953797,-0.0014935066,0.019236052,0.0087219905,-0.07233266,5002,5002,0
93110206,93109770,3670050,3670050,-0.0010011762,0.0010447755,-0.0015434865,0.017085126,-0.008618377,-0.03721383,5001,5001,0
93610226,93609771,3670050,3670050,0.00042497157,0.0011473944,-0.0010134918,0.016051026,-0.006714656,-0.033703838,5002,5002,0
94110300,94109824,3670050,3670050,-0.0010467643,0.0012754664,-0.0023115103,0.016944353,-0.009390205,-0.064432226,5056,5056,0
94615334,94614870,3670050,3670050,0.0001813163,0.0005618534,-0.0014550396,0.01767118,0.004222313,-0.07737039,4892,4892,0
95110210,95109773,3670050,3670050,0.0006305073,0.0011752102,-0.0016027779,0.019428922,-0.0055958857,-0.0329281,5004,5004,0
95610207,95609771,3670050,3670050,0.0010528751,0.0006711265,-0.0021587014,0.015080429,-0.01314326,-0.02179467,5000,5000,0
96110235,96109771,3670050,3670050,0.00032276008,0.0013712873,-0.0011676659,0.017798258,-0.008306413,-0.04230365,5002,5002,0
96610343,96609771,3670050,3670050,0.0013285303,0.0007500276,-0.0017200783,0.013061975,0.005273853,-0.037725415,5003,5003,0
97110221,97109771,3670050,3670050,0.0024569922,9.967028e-05,-0.0018614556,0.013807314,0.008758166,-0.037579015,5003,5003,0
97610169,97609771,3670050,3670050,-0.0027990062,8.108692e-05,-0.00042917157,0.016510282,-0.017655259,-0.052887164,5003,5003,0
98110251,98109792,3670050,3670050,0.00029247248,0.00013129319,-0.0013262971,0.01152969,0.015399445,-0.030342042,4859,4859,0
98610206,98609771,3670050,3670050,-0.0011184465,0.0014380241,-0.0023006708,0.012052329,-0.0011908569,-0.03646905,5002,5002,0
99110277,99109770,3670050,3670050,0.0013243996,0.0018818597,-0.0011262951,0.0070131593,-0.014912256,-0.07075225,5001,5001,0
99610225,99609770,3670050,3670050,-0.0005251753,0.0007248481,-0.0010442525,0.011426671,0.0026351167,-0.04075197,5002,5002,0
100110234,100109770,3670050,3670050,0.0038644641,0.0007833783,-0.001323777,0.010762599,0.01698442,-0.046468515,5003,5003,0
100610471,100610037,3670050,3670050,0.0021073567,0.00028990945,8.943339e-05,0.0077160764,0.012505188,-0.059762828,4989,4989,0
101110168,101109770,3670050,3670050,-0.0007678978,0.00049997075,0.0008801164,0.0017721739,-0.011921201,-0.10244823,5002,5002,0
101615165,101614767,3670050,3670050,-0.0035912415,-0.00021690369,0.000494126,0.0017757198,0.010642801,0.001953901,4997,4997,0
102110205,102109771,3670050,3670050,0.00563852,-9.133912e-05,-0.0022233452,-0.006404984,0.0015772298,-0.016437981,5002,5002,0
102610205,102609769,3670050,3670050,-5.0838466e-05,-0.0004649782,0.0014608525,-0.0027398872,0.012932571,-0.066400796,5001,5001,0
103110221,103109770,3670050,3670050,3.5568162e-05,-0.00010529267,-8.719636e-05,-0.005089318,0.025874259,-0.03487449,5002,5002,0
103610213,103609776,3670050,3670050,0.00043896527,0.00011582664,-0.00034841566,-0.001728039,0.00024605755,-0.021755261,5007,5007,0
104110201,104109807,3670050,3670050,0.00045526188,0.00013155182,0.00015581779,-0.0020929517,-0.01617679,-0.031434517,4885,4885,0
104610169,104609770,3670050,3670050,-0.0007911471,-1.6417479e-06,-0.000119599834,7.239261e-05,-0.012101472,-0.06475642,5002,5002,0
