timestamp,saturation_status
31104010,1
32098382,1
33112811,1
34112481,1
35109566,1
36106291,1
37111243,1
38113127,1
39092845,1
40093068,1
41112006,1
42111604,1
43111319,1
44110754,1
45110013,1
46104951,1
47106991,1
48101877,1
49096490,1
50110407,1
53104960,1
54109306,1
55111503,1
56093779,1
57101085,385
58103007,385
59104312,385
60106584,385
61108619,385
62110823,385
63088042,385
64090669,385
65092542,385
66094407,385
67096199,385
68098494,385
69101003,385
70103177,385
71104351,385
72106626,385
73108853,385
74110714,385
75088455,385
76090706,385
77092630,385
78094606,385
79096465,385
80098281,385
81100769,385
82103005,385
83104871,385
84106442,385
85108718,385
86110906,385
87113053,385
88090599,385
89092459,385
90094469,385
91096503,385
92098543,385
93101051,385
94102625,385
95104669,385
96106477,385
97108510,385
98110568,385
99112879,385
100090593,385
101092674,385
102094291,385
103096327,385
104098580,385
105100408,385
106102691,385
107104702,385
108106737,385
109108958,385
110111172,385
111112690,385
112090847,385
113097909,385
118103223,385
119104741,385
120106788,385
121108863,385
122111010,385
123088523,385
124090863,385
125092818,385
126094820,385
127096403,385
128098445,385
129101189,385
130102786,385
131104835,385
132106608,385
133108659,385
134111072,385
135113171,385
136115025,385
137092365,385
138094633,385
139096435,385
140098740,385
141101294,385
142103248,385
143105345,385
144106863,385
145109146,385
146111109,385
147088683,385
148090924,385
149092887,385
150094428,385
151096477,385
152104005,385
153101113,385
154103301,385
155104893,385
156106682,385
157108945,385
158111177,385
159113196,385
160090405,385
163096747,385
164099378,385
165101313,385
166103358,385
167104937,385
168106721,385
169108755,385
170110802,385
171112846,385
172090677,385
173092509,385
174094745,385
175096793,385
176098615,385
177101334,385
178102914,385
179105500,385
180106991,385
181109112,385
182111410,385
183088445,385
184091047,385
185092771,385
186094988,385
187096839,385
188098860,385
189100679,385
190102729,385
191110261,385
192106816,385
193108870,385
194110879,385
195112917,385
196091075,385
197092985,385
198094855,385
199096863,385
200098689,385
201100716,385
202102983,385
203105564,385
204106845,385
205108883,385
206111303,385
207089091,385
208090558,385
209092862,385
210095071,385
211096898,385
212098941,385
213101454,385
214103495,385
215104837,385
216106884,385
217109225,385
218111364,385
219108327,385
220110157,385
221112627,385
222090260,385
223092314,385
227100581,385
228102027,385
229104317,385
230112006,385
231108402,385
232110611,385
233112511,385
234114280,385
235092637,385
236093914,385
237096173,385
238097993,385
239100754,385
240102563,385
241104348,385
242106149,385
243108561,385
244110464,385
245087846,385
246090111,385
247092358,385
248093994,385
249095990,385
250098268,385
251100087,385
252102113,385
253104165,385
254106190,385
255108462,385
