timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
32107987,2424842,2424842,0,0,0,0,0,0.010199831,0.0002046985,1.10953685e-07,409,409
33031825,2424842,2424842,0,0,0,0,0,0.015107252,0.0003485678,1.2530646e-07,409,409
34058306,2424842,2424842,0,0,0,0,0,0.014916015,0.00035820832,2.0614308e-07,409,409
35084806,2424842,2424842,0,0,0,0,0,0.016862964,0.00025593862,1.9263486e-07,409,409
36111280,2424842,2424842,0,0,0,0,0,0.017693158,0.00029718617,6.1180015e-07,409,409
37035092,2424842,2424842,0,0,0,0,0,0.013451867,0.00028907185,5.7400723e-07,409,409
38061570,2424842,2424842,0,0,0,0,0,0.016682917,0.00036164338,3.7761555e-07,409,409
39088056,2424842,2424842,0,0,0,0,0,0.01637681,0.00021134283,1.7219874e-07,409,409
40011886,2424842,2424842,0,0,0,0,0,0.016529802,0.00025814312,1.4083362e-07,409,409
41038400,2424842,2424842,0,0,0,0,0,0.019506298,0.00030107077,9.4576535e-08,409,409
42064870,2424842,2424842,0,0,0,0,0,0.015863117,0.00032029155,8.596534e-08,409,409
43091327,2424842,2424842,0,0,0,0,0,0.019384481,0.00027266802,1.7003669e-07,409,409
44015190,2424842,2424842,0,0,0,0,0,0.015319467,0.00031084474,9.027363e-08,409,409
45041639,2424842,2424842,0,0,0,0,0,0.014505318,0.00032352036,6.7602414e-08,409,409
46068121,2424842,2424842,0,0,0,0,0,0.014703923,0.00035215486,1.2162104e-07,409,409
47094631,2424842,2424842,0,0,0,0,0,0.016712818,0.0003359461,1.8273059e-07,409,409
48018464,2424842,2424842,0,0,0,0,0,0.015181342,0.00030140867,6.32453e-08,409,409
49044911,2424842,2424842,0,0,0,0,0,0.01542025,0.00028403095,5.6221754e-08,409,409
50071389,2424842,2424842,0,0,0,0,0,0.014704439,0.00035537095,1.7231139e-07,409,409
53048187,2424842,2424842,0,0,0,0,0,0.04685592,0.0009997127,7.7443264e-07,409,409
54074659,2424842,2424842,0,0,0,0,0,0.052862592,0.0014446012,1.0908947e-06,409,409
55101173,2424842,2424842,0,0,0,0,0,0.05714441,0.0011655757,7.0223695e-07,409,409
56025010,2424842,2424842,0,0,0,0,0,0.04548488,0.000816985,2.9814447e-07,409,409
57051442,2424842,2424842,0,0,0,0,0,0.031202888,0.000524624,2.9958048e-07,409,409
58077926,2424842,2424842,0,0,0,0,0,0.025973905,0.0003313086,1.8306041e-07,409,409
59104437,2424842,2424842,0,0,0,0,0,0.026472889,0.0004017752,2.3138698e-07,409,409
60028263,2424842,2424842,0,0,0,0,0,0.025073858,0.00025511958,1.244494e-07,409,409
61054719,2424842,2424842,0,0,0,0,0,0.02519775,0.00023725085,8.180487e-08,409,409
62081192,2424842,2424842,0,0,0,0,0,0.026510892,0.00033229458,3.4452617e-07,409,409
63107674,2424842,2424842,0,0,0,0,0,0.027111785,0.00035782257,3.7690108e-07,409,409
64031504,2424842,2424842,0,0,0,0,0,0.027083483,0.0003413301,3.609726e-07,409,409
65057986,2424842,2424842,0,0,0,0,0,0.026758004,0.0003575711,6.884318e-07,409,409
66084473,2424842,2424842,0,0,0,0,0,0.02656807,0.00046534615,5.8296206e-07,409,409
