timestamp,timestamp_sample,device_id,error_count,pressure,temperature
32108235,32108225,3997730,0,1029.03,27.0
33095154,33095144,3997730,0,1029.1699,27.019999
34101469,34101459,3997730,0,1028.84,27.05
35108608,35108598,3997730,0,1028.6699,27.07
36104575,36104564,3997730,0,1028.23,27.09
37111474,37111463,3997730,0,1027.86,27.119999
38108248,38108238,3997730,0,1027.26,27.14
39094532,39094522,3997730,0,1026.84,27.16
40101496,40101486,3997730,0,1026.47,27.18
41107806,41107796,3997730,0,1026.0599,27.21
42104597,42104587,3997730,0,1025.49,27.24
43111000,43110990,3997730,0,1025.22,27.26
44106698,44106688,3997730,0,1024.78,27.279999
45114100,45114090,3997730,0,1024.37,27.31
46099769,46099759,3997730,0,1024.02,27.32
47106240,47106230,3997730,0,1023.70996,27.34
48112167,48112156,3997730,0,1023.61,27.369999
49108817,49108806,3997730,0,1023.05,27.39
50104294,50104284,3997730,0,1022.6,27.41
53103540,53103530,3997730,0,1022.08997,27.48
54109273,54109263,3997730,0,1022.36,27.5
55105679,55105670,3997730,0,1022.24,27.529999
56111131,56111121,3997730,0,1021.99,27.56
57107056,57107046,3997730,0,1022.19,27.57
58113285,58113275,3997730,0,1022.35,27.59
59099402,59099392,3997730,0,1022.52997,27.609999
60105599,60105589,3997730,0,1022.44,27.63
61111798,61111787,3997730,0,1022.38995,27.66
62108327,62108316,3997730,0,1022.31,27.68
63105285,63105275,3997730,0,1021.97,27.699999
64111840,64111830,3997730,0,1021.57996,27.72
65097833,65097824,3997730,0,1021.26996,27.74
66103674,66103664,3997730,0,1020.93,27.76
67109682,67109671,3997730,0,1020.5,27.779999
68106777,68106766,3997730,0,1020.20996,27.8
69113231,69113221,3997730,0,1019.86,27.83
70109379,70109369,3997730,0,1019.68,27.84
71095785,71095773,3997730,0,1019.44,27.869999
72102218,72102208,3997730,0,1019.24,27.88
73108712,73108702,3997730,0,1019.1,27.9
74104836,74104825,3997730,0,1018.95996,27.92
75111760,75111750,3997730,0,1018.88995,27.93
76107823,76107811,3997730,0,1018.69995,27.96
77094576,77094566,3997730,0,1018.49,27.98
78101502,78101492,3997730,0,1018.25,27.99
79108824,79108813,3997730,0,1017.76996,28.019999
80104853,80104843,3997730,0,1017.74,28.039999
81112031,81112018,3997730,0,1017.39996,28.05
