timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
108105873,108105848,589858,-0.22047147,-0.0017656287,0.50117743,nan,0,0
109105872,109105848,589858,-0.23693472,0.014651696,0.5178023,nan,0,0
110105882,110105850,589858,-0.22945142,0.014651696,0.50722283,nan,0,0
111105875,111105849,589858,-0.22196813,0.014651696,0.51024556,nan,0,0
112105875,112105849,589858,-0.22346479,0.008681761,0.5087342,nan,0,0
113106229,113106205,589858,-0.18455166,0.0071892813,0.5178023,nan,0,0
118105875,118105849,589858,-0.30578104,-0.00027314862,0.47397304,nan,0,0
119106218,119106193,589858,-0.28632444,-0.007735564,0.4845525,nan,0,0
120105878,120105853,589858,-0.26387456,-0.007735564,0.50268877,nan,0,0
121105872,121105848,589858,-0.18604831,-0.024152903,0.5147797,nan,0,0
122105889,122105863,589858,-0.19353162,0.013159216,0.5298932,nan,0,0
123105875,123105849,589858,-0.2010149,-0.016690474,0.5087342,nan,0,0
124105875,124105849,589858,-0.10073877,0.0071892813,0.53593856,nan,0,0
125106235,125106211,589858,-0.016925883,-0.018182969,0.520825,nan,0,0
126105873,126105848,589858,-0.0708056,-0.010720539,0.52384776,nan,0,0
127105897,127105868,589858,-0.24890798,0.010174242,0.495132,nan,0,0
128105887,128105860,589858,-0.31176764,0.16688511,0.4573481,nan,0,0
129105876,129105850,589858,-0.42102376,1.7056366,0.14298603,nan,0,0
130105875,130105849,589858,-0.35217744,1.8742874,0.12484975,nan,0,0
131106258,131106233,589858,-0.3282309,1.5548956,0.094622634,nan,0,0
132105873,132105849,589858,-0.31625763,1.565343,0.06892958,nan,0,0
133105912,133105888,589858,-0.31476095,1.6041477,0.077997714,nan,0,0
134105924,134105898,589858,-0.32224426,1.4981812,0.020566182,nan,0,0
135105875,135105849,589858,-0.27884117,1.4668391,0.11275891,nan,0,0
136105875,136105850,589858,-0.2519013,1.4951962,0.10520212,nan,0,0
137105875,137105850,589858,-0.22196813,1.5175836,0.120315686,nan,0,0
138105877,138105852,589858,-0.1725784,1.4041547,0.15205418,nan,0,0
139105874,139105849,589858,-0.14563853,1.3011732,0.21704248,nan,0,0
140105929,140105902,589858,-0.15461849,1.3160981,0.25029233,nan,0,0
141105877,141105850,589858,-0.10822207,0.98028916,0.36213267,nan,0,0
142105874,142105849,589858,-0.033389125,0.419115,0.4633935,nan,0,0
143105875,143105849,589858,-0.03039581,0.24598679,0.5404727,nan,0,0
144105892,144105868,589858,-0.037879106,0.17434753,0.53291595,nan,0,0
145105874,145105849,589858,-0.06481896,0.22359952,0.5298932,nan,0,0
146105932,146105905,589858,-0.06481896,0.1773325,0.5268705,nan,0,0
147105876,147105849,589858,-0.04087242,0.20419723,0.5314046,nan,0,0
148105880,148105851,589858,-0.061825648,0.21464461,0.5223364,nan,0,0
149105874,149105849,589858,-0.06930894,0.20270474,0.5223364,nan,0,0
150105946,150105921,589858,-0.09175882,0.21016717,0.5147797,nan,0,0
151105874,151105849,589858,-0.022912517,0.21762958,0.5193137,nan,0,0
152105941,152105850,589858,0.102806814,0.19374985,0.50268877,nan,0,0
153105874,153105848,589858,0.13872662,0.21762958,0.48304114,nan,0,0
154105873,154105848,589858,0.057907052,0.23106195,0.5087342,nan,0,0
155105878,155105850,589858,-0.14114855,0.2265845,0.5087342,nan,0,0
156105930,156105906,589858,-0.16210179,0.21165964,0.5132683,nan,0,0
157105873,157105848,589858,-0.12767863,0.2952388,0.50722283,nan,0,0
158105875,158105849,589858,-0.10522875,0.32359597,0.495132,nan,0,0
159105874,159105849,589858,-0.121691994,0.9847666,0.30621248,nan,0,0
160105874,160105848,589858,-0.22795476,2.292183,0.059861444,nan,0,0
163105874,163105849,589858,-0.10822207,2.0190585,0.09764535,nan,0,0
164105873,164105848,589858,-0.11570536,2.09219,0.08706585,nan,0,0
165105875,165105849,589858,-0.08427552,2.054878,0.100668065,nan,0,0
166105881,166105849,589858,-0.1142087,2.1817393,0.103690766,nan,0,0
167105874,167105848,589858,-0.1366586,2.2742732,0.07497501,nan,0,0
168105970,168105946,589858,-0.121691994,2.3175552,0.03870246,nan,0,0
169105880,169105850,589858,-0.063322306,2.3742695,-0.03686535,nan,0,0
170105872,170105848,589858,-0.11570536,2.359345,-0.070115186,nan,0,0
171105913,171105887,589858,-0.17856503,2.4235215,-0.03988806,nan,0,0
172105877,172105851,589858,-0.2519013,2.1653218,0.011498047,nan,0,0
173105873,173105848,589858,-0.38809723,2.184724,0.019054828,nan,0,0
174105992,174105967,589858,-0.38660058,2.1712918,-0.042910773,nan,0,0
175105872,175105847,589858,-0.4584402,2.1489043,0.03567975,nan,0,0
176105875,176105850,589858,-0.39857385,1.5922078,0.18379265,nan,0,0
177105874,177105848,589858,-0.25788793,0.68179226,0.3787576,nan,0,0
178105896,178105872,589858,-0.23394139,0.33852082,0.47095034,nan,0,0
179105874,179105848,589858,-0.22196813,0.18330243,0.47699574,nan,0,0
180106011,180105987,589858,-0.2563913,0.010174242,0.50268877,nan,0,0
181105873,181105849,589858,-0.2519013,0.022114126,0.50268877,nan,0,0
182105872,182105848,589858,-0.21897481,0.014651696,0.50268877,nan,0,0
183105876,183105850,589858,-0.24741131,0.023606606,0.51175696,nan,0,0
184105875,184105849,589858,-0.22795476,0.0056967866,0.49815473,nan,0,0
185105874,185105848,589858,-0.24292135,0.031069022,0.5193137,nan,0,0
186106033,186106009,589858,-0.19203496,0.025099086,0.51024556,nan,0,0
187105872,187105848,589858,-0.06631562,0.010174242,0.5283819,nan,0,0
188105872,188105848,589858,-0.034885786,0.026591567,0.5298932,nan,0,0
189105875,189105849,589858,-0.12318865,0.014651696,0.53593856,nan,0,0
190105877,190105850,589858,-0.3237409,0.022114126,0.4633935,nan,0,0
191105875,191105849,589858,-0.33421752,0.031069022,0.46490487,nan,0,0
192106083,192106058,589858,-0.2878211,0.0056967866,0.48001847,nan,0,0
193105872,193105848,589858,-0.23394139,0.0071892813,0.51024556,nan,0,0
194105875,194105850,589858,-0.2519013,0.025099086,0.495132,nan,0,0
195105874,195105849,589858,-0.24292135,0.023606606,0.5042001,nan,0,0
196105876,196105850,589858,-0.2519013,-0.007735564,0.50722283,nan,0,0
197105878,197105850,589858,-0.22945142,0.014651696,0.50268877,nan,0,0
198106072,198106047,589858,-0.14414187,0.013159216,0.5268705,nan,0,0
199105872,199105848,589858,-0.024409177,0.029576542,0.520825,nan,0,0
200105871,200105848,589858,-0.042369083,0.016144177,0.53291595,nan,0,0
201105878,201105851,589858,-0.2010149,0.016144177,0.5193137,nan,0,0
202105875,202105849,589858,-0.35217744,0.0012193314,0.46188217,nan,0,0
203105875,203105850,589858,-0.3357142,0.0042043063,0.45583674,nan,0,0
204106091,204106067,589858,-0.2698612,0.013159216,0.49815473,nan,0,0
205105872,205105848,589858,-0.24890798,0.062411208,0.50722283,nan,0,0
206105873,206105849,589858,-0.24142468,0.19076486,0.4845525,nan,0,0
207105875,207105849,589858,-0.30129105,1.6131026,0.18832672,nan,0,0
208105876,208105849,589858,-0.3925872,2.4518788,0.0507933,nan,0,0
209105874,209105848,589858,-0.3641507,2.4130743,0.04172517,nan,0,0
210106145,210106121,589858,-0.28482777,2.402627,0.028122963,nan,0,0
211105875,211105850,589858,-0.35068077,2.5653076,0.055327374,nan,0,0
212105872,212105848,589858,-0.3431975,2.5862024,0.047770593,nan,0,0
213105876,213105849,589858,-0.22047147,2.5742624,0.04928195,nan,0,0
214105875,214105849,589858,-0.20550488,2.6727664,0.0054526213,nan,0,0
215105881,215105849,589858,-0.18006168,2.729481,-0.014195007,nan,0,0
216106171,216106141,589858,-0.22346479,2.60262,-0.053490266,nan,0,0
217105873,217105848,589858,-0.10822207,1.6862344,0.13089517,nan,0,0
218105874,218105850,589858,0.004027339,1.1220752,0.185304,nan,0,0
219105875,219105849,589858,0.0070206565,0.6459726,0.31528065,nan,0,0
220105876,220105850,589858,-0.022912517,0.6191079,0.33492824,nan,0,0
221105876,221105850,589858,-0.0049526133,0.37732545,0.48606387,nan,0,0
222106186,222106162,589858,0.032463856,0.18180995,0.51175696,nan,0,0
