timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
147101417,0,357.49765,353.44702,21.352585,4663313
148107095,0,335.50784,347.29874,21.354015,4663313
149112634,0,341.1725,345.06506,21.345171,4663313
150107294,0,328.58038,330.74948,21.403055,4663313
151102452,0,309.2703,322.19193,21.257204,4663313
152107858,0,252.79437,292.0169,21.247467,4663313
153113647,0,173.11469,184.63402,21.251308,4663313
154108676,0,147.54482,146.96872,21.261312,4663313
155103390,0,168.14212,150.28218,21.25524,4663313
156108497,0,223.71823,216.7881,21.183708,4663313
157114015,0,294.96133,281.5253,21.1796,4663313
158109015,0,341.40817,348.48425,21.152979,4663313
159103737,0,389.55875,387.13843,21.163967,4663313
160109318,0,468.72433,460.9474,21.184622,4663313
163104126,0,495.9836,516.9409,21.09717,4663313
164109724,0,538.58563,533.1569,21.104227,4663313
165104798,0,515.9526,514.43085,20.984818,4663313
166109949,0,521.1607,516.85913,20.984102,4663313
167104455,0,554.26263,543.52106,21.005095,4663313
168110059,0,579.66705,569.2795,20.978474,4663313
169104556,0,538.134,554.46124,21.000359,4663313
170110165,0,489.6578,514.60565,20.999287,4663313
171104876,0,466.59445,469.5038,20.888363,4663313
172110573,0,447.60095,429.79922,20.916323,4663313
173105288,0,380.62823,385.0622,20.892561,4663313
174110684,0,397.73233,404.8907,20.910606,4663313
175105386,0,446.20663,436.40735,20.799591,4663313
176110957,0,489.56613,474.5589,20.900333,4663313
177105611,0,444.6356,451.4458,20.875856,4663313
178111046,0,373.93405,384.44357,20.775295,4663313
179105600,0,358.68246,359.7324,20.78253,4663313
180111013,0,339.5009,332.78094,20.82228,4663313
181105719,0,346.53787,348.324,20.760378,4663313
182111114,0,309.3423,322.1953,20.769667,4663313
183105824,0,324.40402,324.34918,20.75984,4663313
184111222,0,330.3716,326.44345,20.76949,4663313
185105983,0,319.82422,323.27393,20.76913,4663313
186111237,0,341.1725,329.69666,20.758947,4663313
187106046,0,263.73453,286.3148,20.66696,4663313
188111723,0,168.45631,184.2988,20.673304,4663313
189106474,0,125.78891,132.90321,20.665354,4663313
190111601,0,152.52396,137.49059,20.67125,4663313
191106568,0,232.85825,213.92975,20.67634,4663313
192111967,0,308.5306,300.73547,20.563183,4663313
193106873,0,350.7862,336.7694,20.720646,4663313
194112069,0,325.35318,318.2738,20.675089,4663313
195107143,0,347.23172,332.69214,20.672142,4663313
196102041,0,346.8193,346.30554,20.56881,4663313
197107703,0,353.25165,343.26736,20.5848,4663313
198112895,0,313.5817,332.19528,20.560324,4663313
199107800,0,220.29468,245.68561,20.550766,4663313
200102600,0,147.0735,157.43106,20.570953,4663313
201107796,0,120.04567,118.01506,20.57542,4663313
202113084,0,173.80202,156.64316,20.576761,4663313
203107835,0,263.7738,247.39526,20.569792,4663313
204102317,0,352.77377,335.55887,20.57828,4663313
205107799,0,339.6318,342.84872,20.62866,4663313
206113567,0,342.16748,338.53354,20.577118,4663313
207108245,0,396.58023,378.8312,20.504068,4663313
208103066,0,477.8226,455.6535,20.507195,4663313
209108253,0,489.16684,477.10852,20.504068,4663313
210103384,0,501.78104,513.38477,20.518272,4663313
211108880,0,500.38016,474.4848,20.401451,4663313
212103882,0,522.843,496.36258,20.420835,4663313
213109176,0,522.5027,531.0394,20.416191,4663313
214103891,0,467.90366,496.0438,20.41771,4663313
215109669,0,440.45926,414.54327,20.488277,4663313
216104436,0,424.69473,423.79694,20.416727,4663313
217109912,0,423.09097,435.24707,20.39484,4663313
218104642,0,378.97208,379.9474,20.381441,4663313
219110074,0,294.11688,316.72238,20.386444,4663313
220104829,0,232.328,245.52097,20.375994,4663313
221110158,0,200.10744,198.99034,20.453173,4663313
222105002,0,189.00778,184.81198,20.373491,4663313
223110418,0,184.1661,179.67218,20.37921,4663313
227111102,0,237.16968,233.18839,20.272572,4663313
228105693,0,210.73573,220.77586,20.270784,4663313
229111136,0,226.77286,220.28384,20.27427,4663313
230105696,0,210.76846,212.8415,20.271233,4663313
231111065,0,173.48126,181.05211,20.279272,4663313
232105916,0,167.5726,162.88771,20.172724,4663313
233111605,0,173.63184,169.5133,20.281326,4663313
234106305,0,215.97015,208.87929,20.172724,4663313
235111620,0,264.33917,247.21298,20.356182,4663313
236106119,0,264.96518,256.16345,20.292938,4663313
237111511,0,252.87537,250.7135,20.245615,4663313
238106699,0,247.86108,249.09866,20.274895,4663313
239112419,0,264.12076,254.64258,20.183712,4663313
240106962,0,215.86542,223.1568,20.171295,4663313
241112458,0,178.85316,185.15077,20.28079,4663313
242107318,0,157.7191,157.69643,20.27954,4663313
243113056,0,174.34535,166.94499,20.19336,4663313
244107905,0,222.38287,208.7113,20.188446,4663313
245102798,0,271.8456,255.40106,20.188625,4663313
246108577,0,344.23602,310.84677,20.214529,4663313
247103291,0,421.5461,414.14346,20.178352,4663313
248108852,0,475.02335,473.25177,20.247671,4663313
249103597,0,490.79025,472.86252,20.23311,4663313
250108718,0,429.84406,448.85425,20.122097,4663313
251114209,0,385.45682,389.0456,20.202738,4663313
252108815,0,326.64276,360.64142,20.106464,4663313
253104096,0,336.05115,330.0758,20.091278,4663313
254109541,0,285.39108,293.6045,20.13219,4663313
255114855,0,279.2664,280.4366,20.1204,4663313
256109636,0,264.2279,272.39374,20.159256,4663313
257104645,0,271.07318,242.11331,20.08038,4663313
258110280,0,232.17743,236.93884,20.080826,4663313
259105304,0,223.37546,226.73752,20.0325,4663313
260110472,0,221.36166,221.9136,20.076807,4663313
261104969,0,242.56119,240.3176,20.07895,4663313
262110713,0,281.58368,263.22754,20.152021,4663313
263105689,0,263.69525,271.26456,20.080202,4663313
264111193,0,281.31946,282.62936,19.978924,4663313
265105784,0,242.69864,255.62021,20.080826,4663313
266111505,0,189.15181,199.51888,20.082346,4663313
267106509,0,146.6022,151.97699,20.076002,4663313
268111820,0,142.27112,134.81752,19.990984,4663313
269106641,0,200.37163,188.3299,19.979818,4663313
270111956,0,258.5263,234.31293,19.983747,4663313
271106835,0,311.56555,322.8544,19.946589,4663313
272112359,0,308.76624,319.10852,19.980175,4663313
273106890,0,319.95514,313.52734,19.989286,4663313
274112358,0,319.22855,319.99103,19.97937,4663313
275107149,0,308.74005,318.0122,19.979818,4663313
276112300,0,247.28085,245.9849,20.045652,4663313
277106951,0,149.17238,173.82664,19.941586,4663313
278112348,0,113.73357,114.99164,19.94893,4663313
279107079,0,141.40706,127.68771,19.979193,4663313
280101766,0,216.73605,200.10345,19.987768,4663313
281106887,0,308.8317,288.90668,19.981068,4663313
282112466,0,362.84573,355.9539,19.960007,4663313
