timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
31100651,-0.015431994,-0.008765978,0.050702505,-0.004596684,0.008458447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1136322,0.0,0.0,nan,0.0,0.0,-0.020375729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31310796,0.00024976954,-0.0058027487,0.02177292,0.007479809,0.0031917542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.030441284,0.0,0.0,nan,0.0,0.0,-0.02595371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31511198,-0.019840216,0.009611181,0.045857616,0.0053091645,0.008219585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.102386475,0.0,0.0,nan,0.0,0.0,-0.027626634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31711606,0.017392488,-0.0045518214,-0.024048278,0.00593948,0.0061269253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.11004639,0.0,0.0,nan,0.0,0.0,0.010776967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31912015,-0.022949941,-0.022664709,0.049089376,0.0017745867,0.00079119205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.22026062,0.0,0.0,nan,0.0,0.0,-0.024483621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32102647,-0.07660657,-0.018927522,0.07183309,0.0030362532,0.0011617132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.15765381,0.0,0.0,nan,0.0,0.0,-0.007104695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32307942,-0.12449522,-0.04887083,0.115121484,0.0034421757,-0.0068598446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-1.195343,0.0,0.0,nan,0.0,0.0,0.10420421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32513238,-0.10817155,-0.034323245,0.12753707,-0.011947606,-0.006546717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.8170624,0.0,0.0,nan,0.0,0.0,0.09469715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32713646,-0.025060564,0.06814441,0.029070377,-0.0114648305,0.0091377795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.6703186,0.0,0.0,nan,0.0,0.0,0.0836907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32909166,0.022985086,0.0233801,-0.06977713,-0.0036700666,0.010771811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.38508606,0.0,0.0,nan,0.0,0.0,0.034392476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
