timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
31941659,1200.0,0.6424104,0.038689017,1.4314936,0.0,0,0,0,1,1,1,38,0,0,0,0,0,31934409,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32951674,1200.0,0.6424104,0.016831432,1.0366182,0.0,0,0,0,1,1,1,38,0,0,0,0,0,31934409,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061659,1200.0,0.6424104,0.016831432,1.0366182,0.0,0,0,0,1,1,1,38,0,0,0,0,0,33058489,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33941712,1200.0,0.6424104,0.016999727,1.1389817,0.0,0,0,0,1,1,1,38,0,0,0,0,0,33934459,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34941658,1200.0,0.6424104,0.016832815,1.0307624,0.0,0,0,0,1,1,1,38,0,0,0,0,0,34934494,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35941658,1200.0,0.6424104,0.01682144,1.2230176,0.0,0,0,0,1,1,1,38,0,0,0,0,0,35934528,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36941717,1200.0,0.6424104,0.016841954,1.1066154,0.0,0,0,0,1,1,1,38,0,0,0,0,0,36934463,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37941658,1200.0,0.6424104,0.016831381,0.9940416,0.0,0,0,0,1,1,1,38,0,0,0,0,0,37934704,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38942074,1200.0,0.6424104,0.016831966,1.2346742,0.0,0,0,0,1,1,1,38,0,0,0,0,0,38934524,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39941658,1200.0,0.6424104,0.016999014,1.239928,0.0,0,0,0,1,1,1,38,0,0,0,0,0,39934523,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
