timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
31110819,0.0,0.0,0.0,0.0
31291677,0.0,0.0,0.0,0.0
31313641,0.0,0.0,0.0,0.0
31330751,0.0,0.0,0.0,0.0
31352779,0.0,0.0,0.0,0.0
31372300,0.0,0.0,0.0,0.0
31394291,0.0,0.0,0.0,0.0
31411404,0.0,0.0,0.0,0.0
31430988,0.0,0.0,0.0,0.0
31452988,0.0,0.0,0.0,0.0
31470056,0.0,0.0,0.0,0.0
31492054,0.0,0.0,0.0,0.0
31511602,0.0,0.0,0.0,0.0
31533599,0.0,0.0,0.0,0.0
31550707,0.0,0.0,0.0,0.0
31572726,0.0,0.0,0.0,0.0
31592256,0.0,0.0,0.0,0.0
31611816,0.0,0.0,0.0,0.0
31631360,0.0,0.0,0.0,0.0
31653360,0.0,0.0,0.0,0.0
31672908,0.0,0.0,0.0,0.0
31690019,0.0,0.0,0.0,0.0
31712047,0.0,0.0,0.0,0.0
31734009,-1.9690617e-05,-4.416561e-05,4.329826e-06,0.0
31751115,-0.00010567367,-0.00035782732,9.9463374e-05,0.0
31770670,-0.00016859743,-0.0007213063,0.0003952674,0.0
31792665,-0.00024874392,-0.0010971698,0.00068520964,0.0
31814703,-0.00034819636,-0.00147411,0.00090943795,0.0
31831773,-0.0003707698,-0.0017293207,0.0010786129,0.0
31851352,-0.00046290274,-0.0019311721,0.0013444523,0.0
31873316,-0.00067263795,-0.002086679,0.0017495436,0.0
31890423,-0.00093932054,-0.002113153,0.0021166299,0.0
31912423,-0.0013410405,-0.002023131,0.002619485,0.0
31931977,-0.0017343828,-0.001806675,0.003067485,0.0
31953967,-0.0023768404,-0.0015025061,0.003611214,0.0
31971076,-0.0029882658,-0.0011412572,0.0040092734,0.0
31993072,-0.003852749,-0.0004552649,0.0045391037,0.0
32012626,-0.0044487175,0.00038651645,0.004962384,0.0
32029731,-0.0049615405,0.001186566,0.0053420877,0.0
32051730,-0.0055229175,0.0024093345,0.005813116,0.0
32073724,-0.0060745208,0.0039668577,0.006310285,0.0
32093276,-0.006219085,0.0054724915,0.0067046005,0.0
32110384,-0.0063796034,0.0068052816,0.0070449435,0.0
32132384,-0.006661192,0.008505987,0.0074274545,0.0
32151934,-0.007144796,0.01013087,0.0077981297,0.0
32171482,-0.007628031,0.011843452,0.008141682,0.0
32191035,-0.008165502,0.01360511,0.008492502,0.0
32213035,-0.008582909,0.015759261,0.008825232,0.0
32232586,-0.009061714,0.017556634,0.009143891,0.0
32252138,-0.009411081,0.01920468,0.009443536,0.0
32271723,-0.009711005,0.02072036,0.00977397,0.0
32293684,-0.009871868,0.022362035,0.010161215,0.0
32310796,-0.009922451,0.023702875,0.010467169,0.0
32332793,-0.0097864885,0.025364943,0.010909988,0.0
32352342,-0.009458817,0.02664063,0.011292808,0.0
32374336,-0.009284194,0.028059358,0.011728073,0.0
32391442,-0.009116716,0.029095087,0.012077391,0.0
32411030,-0.00891084,0.030004494,0.012523807,0.0
32432992,-0.008622925,0.030647159,0.012939698,0.0
32450103,-0.008377336,0.03125945,0.013331795,0.0
32472099,-0.008109888,0.03242708,0.013764577,0.0
32491649,-0.007917738,0.033364188,0.014185391,0.0
32513647,-0.0075131846,0.03374608,0.014699763,0.0
32530753,-0.007259605,0.033859123,0.015090134,0.0
32552749,-0.006938766,0.034360427,0.01562104,0.0
32572303,-0.006764906,0.03497249,0.016114697,0.0
32589410,-0.0066758273,0.035343606,0.016599912,0.0
32611405,-0.0064162244,0.035567187,0.017184671,0.0
32633432,-0.0063726497,0.03586622,0.017731354,0.0
