timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
36809112,45.362892,45.443584,71.94813,76.354904,0.0,99.85528,0.9833582,1.0,nan,12,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,3.7869654,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
37109081,45.213795,45.38474,78.29621,75.876724,0.0,106.13298,0.98231184,1.0,nan,12,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,3.7820616,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
37409089,45.050365,45.306885,77.63696,76.5335,0.0,112.568695,0.9812392,1.0,nan,12,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,3.7755737,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
37709079,44.710125,45.148136,83.721344,80.83724,0.0,119.71255,0.9800484,1.0,nan,12,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,3.7623446,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
38009119,45.081905,45.077816,75.62063,80.10233,0.0,126.38468,0.9789365,1.0,nan,12,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,3.7564847,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
38309078,45.608517,45.139324,65.29454,75.36335,0.0,132.20802,0.977966,1.0,nan,12,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,3.7616103,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
38609247,44.96244,45.219887,71.13452,70.86012,0.0,137.59583,0.97706807,1.0,nan,12,3.768324,3.768324,3.768324,3.768324,3.768324,3.768324,3.768324,3.768324,3.768324,3.768324,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
38909078,44.788494,45.157555,80.92034,73.13394,0.0,143.92613,0.9760131,1.0,nan,12,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,3.7631295,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
39209123,45.336132,45.18413,63.98891,70.44305,0.0,149.54604,0.9750765,1.0,nan,12,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,3.7653444,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
39509080,45.569332,45.247337,63.30072,67.61309,0.0,154.9069,0.974183,1.0,nan,12,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,3.7706115,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
