timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
35617118,0.17796794,0.11282247,-2.0281196,-0.32822227,0.11331946,0.4514583,1.4472015,1.1158247,0.28282622,-0.034742177,-0.19855946,-0.21454853,-0.38019013,0.22193241,0.031667948,-0.14054227,-0.84725714,3.947428e-05,0.026361523,0.74747235,0.22608717,3.947428e-05
35817526,0.07140804,0.10501326,-2.0811102,-0.39941132,0.013660863,0.33601075,1.3233337,0.99041486,0.2230747,-0.05492103,-0.20505887,-0.25426805,-0.49846172,0.051229954,-0.115489244,-0.25954413,-0.9007336,3.9757393e-05,0.026148403,0.7605846,0.21318743,3.9757393e-05
36022822,-0.041702963,0.09962428,-2.1427536,-0.48426148,-0.09324375,0.21920978,1.2068944,0.80638814,0.11370355,-0.12275687,-0.25777128,-0.32618895,-0.485523,-0.0061683655,-0.14941156,-0.266387,-0.8401867,3.9953466e-05,0.027175182,0.77322257,0.1995223,3.9953466e-05
36223230,-0.13249658,0.09525785,-2.2170694,-0.5564489,-0.18246862,0.1174351,1.090547,0.9214471,0.32204592,0.11864418,-0.0062576532,-0.09841615,-0.3882935,0.045202494,-0.06996429,-0.16122377,-0.66858625,3.8677303e-05,0.025431667,0.77557313,0.19891784,3.8677303e-05
36418750,-0.22783096,0.092254,-2.2926376,-0.6353948,-0.27576983,0.01480913,0.981178,0.7340052,0.2382206,0.06816697,-0.040030062,-0.14826286,-0.441635,-0.054081917,-0.1462698,-0.21331728,-0.63634145,3.8630606e-05,0.024860084,0.77874094,0.19632158,3.8630606e-05
36619158,-0.31705528,0.0906879,-2.3755388,-0.71751815,-0.36436352,-0.0778687,0.8858509,0.4644295,0.1716817,0.02902177,-0.07372704,-0.25820413,-0.41672063,0.00052559376,-0.03983915,-0.06323147,-0.3674339,3.7613383e-05,0.024312764,0.7799293,0.19568272,3.7613383e-05
36824454,-0.3868552,0.0894296,-2.449998,-0.77993387,-0.43488064,-0.15511139,0.80326635,0.1811475,0.23281328,0.14154485,0.059867203,-0.19729659,-0.6694404,-0.2675333,-0.2367636,-0.1962403,-0.28953218,3.961819e-05,0.023134405,0.77601004,0.20077625,3.961819e-05
37019995,-0.4502241,0.087596126,-2.5156276,-0.8350712,-0.4994617,-0.22693107,0.7198963,-0.35794914,0.07779933,0.05368235,0.008253068,-0.28410524,-0.6792253,-0.35908437,-0.26301956,-0.15833998,-0.0037035942,3.9640858e-05,0.0216781,0.7702933,0.20794939,3.9640858e-05
37220382,-0.51041317,0.08441155,-2.568947,-0.88315827,-0.56067044,-0.29814905,0.6256769,-0.7390199,-0.02183649,0.0064359456,-0.0068442523,-0.2981836,-0.6236825,-0.39352214,-0.2572204,-0.111252904,0.2291342,3.96662e-05,0.019848738,0.7636658,0.2164061,3.96662e-05
37420790,-0.5738932,0.08004313,-2.615305,-0.931156,-0.6245114,-0.37442863,0.5167479,-1.0063202,-0.08456878,-0.013817102,0.0036469102,-0.24833602,-0.5214696,-0.3955499,-0.23986483,-0.07094371,0.40697575,3.9539347e-05,0.017934011,0.7570254,0.22496144,3.9539347e-05
37621198,-0.6281947,0.07504185,-2.64778,-0.96712095,-0.6788717,-0.44336268,0.4060816,-1.2602841,-0.2158275,-0.10703394,-0.055853665,-0.21212003,-0.37048888,-0.39761543,-0.24621737,-0.074417114,0.49146938,4.0122337e-05,0.01586383,0.74892366,0.23513228,4.0122337e-05
37821607,-0.67986023,0.07039026,-2.6763115,-1.0043124,-0.72995,-0.506252,0.30949435,-1.2115514,-0.13473156,-0.002420783,0.07556453,0.038318247,-0.17411149,-0.35900962,-0.22962034,-0.073016405,0.51249146,3.968261e-05,0.014506724,0.7432031,0.2422108,3.968261e-05
