timestamp,main_state
31084965,8
31595670,8
32101687,8
32607697,8
33113698,8
33619671,8
34125670,8
34631672,8
35137714,8
35643673,8
36149672,8
36655690,8
37161673,8
37667818,8
38173671,8
38679670,8
39185671,8
39691762,8
40198192,8
40703684,8
41209856,8
41715669,8
42221699,8
42727711,8
43233670,8
43739669,8
44245681,8
44751671,8
45257670,8
45763670,8
46269668,8
46775708,8
47281695,8
47787719,8
48293670,8
48799693,8
49305672,8
49811673,8
50317675,8
50405696,8
50911696,8
52935672,8
53441719,8
53948009,8
54453669,8
54959671,8
55465670,8
55971669,8
56280108,8
56785671,8
57291669,8
57797694,8
58303670,8
58809719,8
59315672,8
59821667,8
60327719,8
60833670,8
61339671,8
61845672,8
62351708,8
62857670,8
63363686,8
63869741,8
64375711,8
64881683,8
65387711,8
65893671,8
66399670,8
66906037,8
67411671,8
67917723,8
68423683,8
68929671,8
69435670,8
69941744,8
70447713,8
70953672,8
71459684,8
71965671,8
72471681,8
72977695,8
73483705,8
73989687,8
74495684,8
75001670,8
75507718,8
76013670,8
76519670,8
77025734,8
77531681,8
78037721,8
78543670,8
79049673,8
79555690,8
80061765,8
80567972,8
81073670,8
81579683,8
82085670,8
82591669,8
83097706,8
83603671,8
84109672,8
84615667,8
85121683,8
85627713,8
86133669,8
86639671,8
87145695,8
87651668,8
88157710,8
88663672,8
89169693,8
89675671,8
90181669,8
90687673,8
91193667,8
91699670,8
92205672,8
92711670,8
93217957,8
93723741,8
94229836,8
94735670,8
95242087,8
95747671,8
96253686,8
96759697,8
97265671,8
97771683,8
98277694,8
98783694,8
99289674,8
99795670,8
100301696,8
100807718,8
101313670,8
101819706,8
102325716,8
102831689,8
103337671,8
103843671,8
104349672,8
104855749,8
105361670,8
105867696,8
106373671,8
106879929,8
107385713,8
107891916,8
108397699,8
108903669,8
109409671,8
109915671,8
110421668,8
110927710,8
111433671,8
111939670,8
112445669,8
112951671,8
113457697,8
113963697,8
118011711,8
118517715,8
119023670,8
119529669,8
120035671,8
120542397,8
121047695,8
121553883,8
122059688,8
122565671,8
123071669,8
123577696,8
124083681,8
124589670,8
125095672,8
125601669,8
126107696,8
126613671,8
127119669,8
127625670,8
128131685,8
128637729,8
129143671,8
129649690,8
130155674,8
130661674,8
131167669,8
131673696,8
132179675,8
132685692,8
133191670,8
133697695,8
134203931,8
134709670,8
135215709,8
135721668,8
136227669,8
136733686,8
137239903,8
137745670,8
138251670,8
138757714,8
139263685,8
139769686,8
140275671,8
140780691,8
141286671,8
141792670,8
142298875,8
142804668,8
143310672,8
143816670,8
144322695,8
144828686,8
145334670,8
145840670,8
146346701,8
146852716,8
147358671,8
147864670,8
148370715,8
148876671,8
149382671,8
149888711,8
150394671,8
150900676,8
151406670,8
151912695,8
152418688,8
152925500,8
153430669,8
153936677,8
154442713,8
154948738,8
155454669,8
155960671,8
156466669,8
156972696,8
157478669,8
157984670,8
158490670,8
158996672,8
159502721,8
160008685,8
162538670,8
163044670,8
163550671,8
164056696,8
164562694,8
165068686,8
165574683,8
166080765,8
166586817,8
167092695,8
167598672,8
168104684,8
168610670,8
169116687,8
169622854,8
170128686,8
170634670,8
171140669,8
171646670,8
172152695,8
172658671,8
173164695,8
173670671,8
174176684,8
174682727,8
175188725,8
175694696,8
176200671,8
176706671,8
177212750,8
177718687,8
178224671,8
178730671,8
179236671,8
179742787,8
180248980,8
180754669,8
181260762,8
181766670,8
182272697,8
182778669,8
183284671,8
183790666,8
184296670,8
184802694,8
185308705,8
185814685,8
186320713,8
186826692,8
187332711,8
187838669,8
188344672,8
188850711,8
189356670,8
189862670,8
190368687,8
190874695,8
191380703,8
191886706,8
192392695,8
192899528,8
193404724,8
193910904,8
194416670,8
194922715,8
195428687,8
195934686,8
196440687,8
196946697,8
197452694,8
197958666,8
198464669,8
198970672,8
199476670,8
199982716,8
200489654,8
200995654,8
201502360,8
202007655,8
202513812,8
203019662,8
203525653,8
204031653,8
204537654,8
205043653,8
205549653,8
206055668,8
206561671,8
207067695,8
207573668,8
208079680,8
208585653,8
209091669,8
209597711,8
210103675,8
210609653,8
211115653,8
211621653,8
