timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
51078830,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
51098264,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
52892407,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
53092519,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
53292898,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
53479093,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
53679462,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
53899256,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
54099737,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
54294932,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
54495353,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
54681285,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
54871840,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
55072117,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
55292106,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
55492533,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
55692904,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
55893295,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
56093714,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
56279895,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1363252545,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1363272494,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1363438450,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1363638871,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1363839310,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1364054087,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1364240148,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1364440545,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1364640939,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1364855707,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1365032008,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1365232092,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1365452065,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1365652447,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1365838494,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1366053249,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1366239328,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1366454055,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1366640160,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1366840572,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1367040912,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1367241313,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1367431698,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1367632066,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1367852033,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1368052472,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1368252893,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1368453290,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1368653661,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1368854127,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1369040135,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1369240562,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
