timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
32065166,3670050,3670050,0,0,0,0,0,0.01832007,0.00040762575,2.3832105e-07,400,400
33085221,3670050,3670050,0,0,0,0,0,0.040531076,0.00069056393,2.7028787e-07,400,400
34015204,3670050,3670050,0,0,0,0,0,0.03986808,0.0008463487,4.907994e-07,400,400
35045266,3670050,3670050,0,0,0,0,0,0.048547063,0.0009215636,6.363573e-07,400,400
36075201,3670050,3670050,0,0,0,0,0,0.04380388,0.0010029941,2.0625832e-06,400,400
37100224,3670050,3670050,0,0,0,0,0,0.039074328,0.0008453317,1.7014198e-06,400,400
38045205,3670050,3670050,0,0,0,0,0,0.046348576,0.0010872207,1.1868844e-06,400,400
39080314,3670050,3670050,0,0,0,0,0,0.044152234,0.0008547502,7.8789174e-07,400,400
40015204,3670050,3670050,0,0,0,0,0,0.04050468,0.0010031615,5.862682e-07,400,400
41040411,3670050,3670050,0,0,0,0,0,0.045017634,0.0009585446,3.820412e-07,400,400
42060376,3670050,3670050,0,0,0,0,0,0.046001635,0.0009939966,2.4121482e-07,400,400
43085224,3670050,3670050,0,0,0,0,0,0.05053252,0.0011362666,7.3903e-07,400,400
44015218,3670050,3670050,0,0,0,0,0,0.041277416,0.0008541789,2.7123244e-07,400,400
45040203,3670050,3670050,0,0,0,0,0,0.040361904,0.0008453363,1.7080328e-07,400,400
46065277,3670050,3670050,0,0,0,0,0,0.03840067,0.0010842095,3.855198e-07,400,400
47095206,3670050,3670050,0,0,0,0,0,0.049240723,0.0011682546,6.845751e-07,400,400
48020477,3670050,3670050,0,0,0,0,0,0.044244364,0.0010492237,2.402536e-07,400,400
49050227,3670050,3670050,0,0,0,0,0,0.042661123,0.0009058921,1.894421e-07,400,400
50085220,3670050,3670050,0,0,0,0,0,0.039206684,0.0010491858,5.2473257e-07,400,400
53065162,3670050,3670050,0,0,0,0,0,0.039080758,0.0011451549,9.1212354e-07,400,400
54085204,3670050,3670050,0,0,0,0,0,0.040723335,0.0011975965,9.3546623e-07,400,400
55105233,3670050,3670050,0,0,0,0,0,0.061577715,0.0020231185,1.4239868e-06,400,400
56030239,3670050,3670050,0,0,0,0,0,0.06321721,0.0020758614,8.507902e-07,400,400
57055221,3670050,3670050,0,0,0,0,0,0.07493506,0.0023754204,1.4181934e-06,400,400
58085278,3670050,3670050,0,0,0,0,0,0.05452039,0.0015755019,8.780822e-07,400,400
59015225,3670050,3670050,0,0,0,0,0,0.04594297,0.0013740228,8.1396763e-07,400,400
60045230,3670050,3670050,0,0,0,0,0,0.04904434,0.0013930742,7.233591e-07,400,400
61070210,3670050,3670050,0,0,0,0,0,0.053802498,0.0015351785,5.0997596e-07,400,400
62090548,3670050,3670050,0,0,0,0,0,0.046491936,0.0014012305,1.3444933e-06,400,400
63010236,3670050,3670050,0,0,0,0,0,0.042354595,0.0013617146,1.2677817e-06,400,400
64035220,3670050,3670050,0,0,0,0,0,0.041994665,0.0013715612,1.5064553e-06,400,400
65070305,3670050,3670050,0,0,0,0,0,0.04297971,0.0013917536,2.7817046e-06,400,400
66095205,3670050,3670050,0,0,0,0,0,0.044421762,0.0013599894,1.8012943e-06,400,400
67025208,3670050,3670050,0,0,0,0,0,0.04536795,0.0013739411,2.6293399e-06,400,400
68055205,3670050,3670050,0,0,0,0,0,0.046075247,0.0013292872,2.038989e-06,400,400
69075528,3670050,3670050,0,0,0,0,0,0.044973057,0.0013346889,2.4901633e-06,400,400
70010212,3670050,3670050,0,0,0,0,0,0.04323512,0.0013622921,1.6348158e-06,400,400
71040511,3670050,3670050,0,0,0,0,0,0.041200224,0.0013717762,2.6223397e-06,400,400
72075206,3670050,3670050,0,0,0,0,0,0.039679423,0.0013333594,1.765607e-06,400,400
73110546,3670050,3670050,0,0,0,0,0,0.039073475,0.0013437475,2.0224584e-06,400,400
74035271,3670050,3670050,0,0,0,0,0,0.0391213,0.0013314367,1.3575168e-06,400,400
75055222,3670050,3670050,0,0,0,0,0,0.039484862,0.0013310927,1.351725e-06,400,400
76070263,3670050,3670050,0,0,0,0,0,0.03846315,0.0013233168,1.6851003e-06,400,400
77090288,3670050,3670050,0,0,0,0,0,0.039022326,0.0013513977,9.5304813e-07,400,400
78015225,3670050,3670050,0,0,0,0,0,0.041447256,0.0013508977,1.3600825e-06,400,400
79050172,3670050,3670050,0,0,0,0,0,0.039817378,0.0013374647,1.2380211e-06,400,400
80080183,3670050,3670050,0,0,0,0,0,0.03984514,0.0013384639,8.3676673e-07,400,400
81105212,3670050,3670050,0,0,0,0,0,0.037577864,0.0012971215,5.9051473e-07,400,400
82035237,3670050,3670050,0,0,0,0,0,0.03661127,0.0012900771,6.27158e-07,400,400
