timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1365173472,1365172670,0.46114972,8.43445e-05,7.7962575,17.164818,0.39345098,17.444475,0
1365261736,1365260655,0.4602522,8.3850275e-05,7.3313227,17.143501,0.34835547,17.448032,0
1365359493,1365358414,0.459978,8.3244464e-05,1.8374659,17.518085,0.021414572,17.33,0
1365471824,1365470839,0.45984823,8.250355e-05,-4.2932987,17.054811,0.12008611,17.119507,0
1365559955,1365558822,0.4587012,8.203102e-05,2.0572486,17.151789,0.027417105,16.96951,0
1365672191,1365671246,0.4581131,8.131937e-05,-1.4548495,16.938078,0.013884475,16.81091,0
1365760383,1365759229,0.45827383,8.0851474e-05,3.0716264,16.554651,0.06332486,16.414034,0
1365872630,1365871654,0.45699847,8.01659e-05,0.8345252,16.794682,0.0046074926,16.649044,0
1365960772,1365959638,0.4570278,7.973281e-05,-0.33851266,16.235727,0.00078421575,16.073961,0
1366072879,1366072062,0.45652187,7.909617e-05,-0.17135763,16.546478,0.00019717817,16.378714,0
1366161118,1366160046,0.45531765,7.871831e-05,0.44363737,16.953491,0.0012898957,16.77717,0
1366258869,1366257806,0.45463926,7.8303485e-05,8.727093,17.32329,0.48850197,17.657763,0
1366356341,1366355567,0.45306677,7.797262e-05,1.369294,17.890337,0.0116448095,17.702305,0
1366473891,1366472879,0.4520998,7.7576995e-05,2.8510852,17.763376,0.05084548,17.585297,0
1366571781,1366570639,0.4515758,7.723464e-05,5.049399,19.384188,0.14614677,19.28199,0
1366659740,1366658622,0.45070148,7.696528e-05,9.931784,18.758461,0.58427167,19.182817,0
1366771869,1366771046,0.44990167,7.656304e-05,1.6945498,18.72472,0.017039265,18.526957,0
1366860167,1366859065,0.44933763,7.627613e-05,-2.4602427,18.038689,0.03728279,18.033504,0
1366972240,1366971454,0.44919264,7.5818636e-05,-0.5243318,17.647343,0.0017309741,17.507109,0
1367060595,1367059438,0.44908988,7.550511e-05,3.5480564,18.294157,0.07645856,18.131947,0
1367158357,1367157198,0.4482823,7.513766e-05,-1.3910439,19.004581,0.01131308,18.89715,0
1367260958,1367259846,0.44820976,7.476932e-05,-1.7536993,18.864489,0.018114347,18.771013,0
1367358680,1367357606,0.44753382,7.4367716e-05,3.8690476,18.19237,0.09142741,18.04299,0
1367461345,1367460254,0.4481224,7.393336e-05,-5.049557,18.209028,0.15558843,18.491268,0
1367559101,1367558014,0.4473847,7.3525414e-05,-1.39329,17.959208,0.012010287,17.835045,0
1367661769,1367660664,0.44661477,7.313585e-05,-4.369568,17.711145,0.11978096,17.90522,0
1367773871,1367773086,0.44585824,7.271246e-05,4.486965,18.122555,0.12343646,18.022041,0
1367871785,1367870846,0.44498822,7.235758e-05,6.167685,18.41496,0.22952557,18.42672,0
1367959932,1367958830,0.44511434,7.206119e-05,1.2299055,18.448006,0.009110697,18.249397,0
1368072209,1368071254,0.44475925,7.15691e-05,-0.82851887,18.045424,0.0042266394,17.89008,0
1368174760,1368173902,0.44554523,7.1087496e-05,-1.9058619,18.69431,0.02158892,18.616098,0
1368272695,1368271663,0.4457725,7.055851e-05,2.7451751,18.674534,0.044838164,18.500658,0
1368375119,1368374310,0.4456908,6.996819e-05,-6.6168003,17.89578,0.27183345,18.211084,0
1368473047,1368472070,0.44584438,6.937365e-05,2.2739275,18.206402,0.031556334,18.024881,0
1368575536,1368574718,0.44501382,6.882549e-05,-1.8426361,18.17612,0.020755608,18.034712,0
1368673474,1368672478,0.44392195,6.827843e-05,5.8655915,17.45064,0.21906337,17.488628,0
1368751742,1368750686,0.44355193,6.78685e-05,1.9648942,17.752228,0.024164787,17.562698,0
1368873870,1368872886,0.4428061,6.725438e-05,-1.9999397,17.077108,0.026024174,16.971943,0
1368971739,1368970646,0.44213352,6.67456e-05,-0.7147473,17.243227,0.0032918802,17.082228,0
1369059736,1369058631,0.44168198,6.637232e-05,-1.591116,16.91889,0.016626058,16.802761,0
1369171882,1369171054,0.44106796,6.5813e-05,0.42309058,16.38616,0.0012137997,16.20823,0
1369274673,1369273702,0.4406992,6.531737e-05,2.257298,15.690163,0.036083434,15.560017,0
1369372240,1369371462,0.44065133,6.478236e-05,-0.32614815,15.107232,0.0007823524,14.952194,0
1369460717,1369459446,0.44031796,6.433595e-05,2.377592,14.689736,0.042758077,14.538591,0
1369558404,1369557206,0.44159877,6.375457e-05,-3.2804801,14.657505,0.08157785,14.640296,0
1369660929,1369659854,0.44112682,6.3175314e-05,2.3758855,14.150797,0.04432284,14.012581,0
1369773149,1369772321,0.43979213,6.248056e-05,-1.4162989,14.31774,0.015566566,14.205576,0
1369861373,1369860264,0.43943894,6.20446e-05,-2.2209792,14.04522,0.039022755,13.956348,0
1369959139,1369958022,0.438864,6.149745e-05,1.3605844,13.500967,0.0152350385,13.34754,0
1370061740,1370060670,0.4374126,6.0980055e-05,2.6524882,13.468619,0.05804186,13.283086,0
1370173886,1370173094,0.4354025,6.0417904e-05,3.6891997,13.525478,0.11180704,13.421323,0
1370271805,1370270857,0.43424818,5.9998983e-05,2.2023594,13.567187,0.039723188,13.420717,0
1370359937,1370358838,0.43371382,5.9665745e-05,0.50587523,13.157813,0.002161029,13.022471,0
1370472202,1370471262,0.43378073,5.9090693e-05,-0.49047816,12.595108,0.002122242,12.487062,0
1370560417,1370559246,0.43364552,5.866999e-05,2.2814713,12.405971,0.046618335,12.271291,0
1370672701,1370671673,0.43295476,5.7985286e-05,6.396298,11.901196,0.3819656,12.012123,0
1370760797,1370759654,0.433187,5.7494257e-05,-0.2753141,11.830478,0.0007118887,11.709575,0
1370858522,1370857414,0.43390343,5.6848465e-05,0.0055921674,11.58931,2.9981976e-07,11.458773,0
1370961135,1370960061,0.43313226,5.6188073e-05,3.0639334,11.137137,0.09365749,11.044025,0
