timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
39908782,63.31923297439011,10.273088856311452,25.135464,64.6319,-0.0,0.55485046,0.89411384,0.0,2,0,0,0
40109190,63.31923422674204,10.273092171961343,25.777037,65.25247,-0.0,0.5547258,0.89383703,0.0,2,0,0,0
40304710,63.31923544869265,10.273095417416062,26.38755,65.84398,-0.0,0.55428725,0.8943221,0.0,2,0,0,0
40505117,63.319236688397794,10.273098671867636,27.002943,66.43918,-0.0,0.55421627,0.89405173,0.0,2,0,0,0
40710414,63.3192379140695,10.273101866782357,27.624315,67.04015,-0.0,0.55451584,0.8940752,0.0,2,0,0,0
40910822,63.31923921311612,10.273105034441128,28.235712,67.631645,-0.0,0.55446213,0.89485687,0.0,2,0,0,0
41111230,63.3192407045507,10.273108260397143,28.8599,68.23573,-0.0,0.5544112,0.894575,0.0,2,0,0,0
41311639,63.319242237966364,10.273111638644105,29.499472,68.855896,-0.0,0.5543682,0.8942994,0.0,2,0,0,0
41512047,63.319243625563445,10.27311516744241,30.150326,69.48695,-0.0,0.5543281,0.894015,0.0,2,0,0,0
41712454,63.319244961515224,10.273118779921043,30.81509,70.13172,-0.0,0.554295,0.894787,0.0,2,0,0,0
41903087,63.319246274445256,10.273122345411972,31.463274,70.76055,-0.0,0.5539512,0.89421535,0.0,2,0,0,0
42108382,63.319247781055765,10.27312621353718,32.181835,71.458466,-0.0,0.5543298,0.8942278,0.0,2,0,0,0
42313678,63.31924942226325,10.273129947786723,32.917374,72.173805,-0.0,0.55430615,0.893947,0.0,2,0,0,0
42509198,63.319251088482545,10.273133440202214,33.640553,72.87709,-0.0,0.55428284,0.8947204,0.0,2,0,0,0
42699877,63.31925272705545,10.27313673631938,34.356506,73.573135,-0.0,0.55390817,0.89414555,0.0,2,0,0,0
42910014,63.31925469313662,10.273139913155532,35.147408,74.34395,-0.0,0.5542566,0.8941531,0.0,2,0,0,0
43110422,63.319256773650146,10.273142377305534,35.87878,75.05531,-0.0,0.5542508,0.8938712,0.0,2,0,0,0
43310832,63.319259065800516,10.273144430352062,36.591267,75.747696,-0.0,0.5542393,0.8946377,0.0,2,0,0,0
43511238,63.319261556574816,10.273146108280786,37.286835,76.42347,-0.0,0.5542216,0.8943457,0.0,2,0,0,0
43711694,63.31926426759697,10.273147368153316,37.953346,77.06908,-0.0,0.554161,0.8940531,0.0,2,0,0,0
43907166,63.319267137042516,10.273148200609628,38.56017,77.655594,-0.0,0.5541009,0.89481336,0.0,2,0,0,0
44107574,63.31927035872964,10.27314866576148,39.185833,78.26227,-0.0,0.55407995,0.8945212,0.0,2,0,0,0
44312870,63.319273849144025,10.273148606523263,39.827137,78.883575,-0.0,0.5540643,0.8942279,0.0,2,0,0,0
44508390,63.319277223290555,10.273148099237114,40.423763,79.46069,-0.0,0.5540968,0.89394045,0.0,2,0,0,0
44708847,63.31928078987925,10.273147365302753,41.028366,80.044586,-0.0,0.55408555,0.8947007,0.0,2,0,0,0
44909206,63.31928446678043,10.273146465039614,41.618565,80.61475,-0.0,0.5540757,0.8944017,0.0,2,0,0,0
45109616,63.31928813235657,10.273145370826805,42.19548,81.17171,-0.0,0.55407035,0.894106,0.0,2,0,0,0
45305134,63.31929165370869,10.273144225785252,42.708984,81.66441,-0.0,0.5536619,0.89456785,0.0,2,0,0,0
