state_output_1,state_output_2,state_output_3,state_output_4,state_output_5,state_output_6,state_output_7,state_output_8,state_output_9,state_output_10,input_output_1,input_output_2,input_output_3,input_output_4,input_output_5,input_output_6,input_output_7,input_output_8
0.252192652406818,-0.0686982202623246,-0.023297918563717,0.964891558440458,0.0238941133650778,-0.00512730737620433,-0.0274384508450485,19.6702938171858,-0.689979464985023,0.857094594973932,0,-0,0,-0,-0.00212149365133446,0.0765020084677,-0.103005952207548,0.632306696442125
0.252238264079785,-0.0685971644886543,-0.0232543205837137,0.964886022341552,0.0238857165728466,-0.00525168062932089,-0.0274767830496536,19.667524728793,-0.692826960657339,0.858454822874884,0,-0,0,-0,-0.00221762717377286,0.0765162732775618,-0.102993599736991,0.632284793934322
0.252283875752752,-0.0684961087149841,-0.0232107226037104,0.964880486242647,0.0238773197806153,-0.00537605388243745,-0.0275151152542586,19.6647573356878,-0.695674121254393,0.859817086039434,0,-0,0,-0,-0.00231376069621127,0.0765305380874235,-0.102981247266433,0.63226289142652
0.252329487425719,-0.0683950529413138,-0.0231671246237071,0.964874950143741,0.023868922988384,-0.00550042713555401,-0.0275534474588637,19.6619916383534,-0.69852094611585,0.861181383974646,0,-0,0,-0,-0.00240989421864967,0.0765448028972853,-0.102968894795876,0.632240988918717
0.252375099098687,-0.0682939971676435,-0.0231235266437038,0.964869414044836,0.0238605261961528,-0.00562480038867057,-0.0275917796634687,19.659227637273,-0.70136743458143,0.862547716187235,0,-0,0,-0,-0.00250602774108808,0.076559067707147,-0.102956542325318,0.632219086410915
0.252420710771654,-0.0681929413939733,-0.0230799286637005,0.964863877945931,0.0238521294039215,-0.00574917364178713,-0.0276301118680738,19.6564653329295,-0.7042135859909,0.863916082183556,0,-0,0,-0,-0.00260216126352649,0.0765733325170088,-0.10294418985476,0.632197183903112
0.252466322444621,-0.068091885620303,-0.0230363306836972,0.964858341847025,0.0238437326116902,-0.00587354689490369,-0.0276684440726788,19.6537047258054,-0.707059399684067,0.865286481469616,0,-0,0,-0,-0.00269829478596489,0.0765875973268706,-0.102931837384203,0.63217528139531
0.252511934117588,-0.0679908298466327,-0.0229927327036939,0.96485280574812,0.023835335819459,-0.00599792014802024,-0.0277067762772839,19.650945816383,-0.709904875000798,0.866658913551064,0,-0,0,-0,-0.0027944283084033,0.0766018621367323,-0.102919484913645,0.632153378887507
0.252557545790555,-0.0678897740729625,-0.0229491347236906,0.964847269649215,0.0238269390272277,-0.0061222934011368,-0.0277451084818889,19.6481886051442,-0.712750011281,0.868033377933197,0,-0,0,-0,-0.00289056183084171,0.0766161269465941,-0.102907132443088,0.632131476379705
0.252603157463522,-0.0677887182992922,-0.0229055367436873,0.964841733550309,0.0238185422349964,-0.00624666665425336,-0.027783440686494,19.6454330925708,-0.715594807864636,0.869409874120957,0,-0,0,-0,-0.00298669535328011,0.0766303917564558,-0.10289477997253,0.632109573871902
0.252648769136489,-0.067687662525622,-0.022861938763684,0.964836197451404,0.0238101454427652,-0.00637103990736992,-0.027821772891099,19.6426792791442,-0.71843926409172,0.870788401618935,0,-0,0,-0,-0.00308282887571852,0.0766446565663176,-0.102882427501973,0.6320876713641
0.252694380809456,-0.0675866067519517,-0.0228183407836807,0.964830661352498,0.0238017486505339,-0.00649541316048648,-0.0278601050957041,19.6399271653456,-0.721283379302295,0.872168959931366,0,-0,0,-0,-0.00317896239815692,0.0766589213761794,-0.102870075031415,0.632065768856298
0.252739992482424,-0.0674855509782814,-0.0227747428036774,0.964825125253593,0.0237933518583027,-0.00661978641360304,-0.0278984373003091,19.6371767516557,-0.724127152836487,0.873551548562132,0,-0,0,-0,-0.00327509592059533,0.0766731861860411,-0.102857722560857,0.632043866348495
0.252785604155391,-0.0673844952046112,-0.0227311448236741,0.964819589154687,0.0237849550660714,-0.0067441596667196,-0.0279367695049142,19.6344280385552,-0.726970584034435,0.874936167014764,0,-0,0,-0,-0.00337122944303374,0.0766874509959029,-0.1028453700903,0.632021963840693
0.252831215828358,-0.0672834394309409,-0.0226875468436708,0.964814053055782,0.0237765582738401,-0.00686853291983616,-0.0279751017095192,19.6316810265244,-0.729813672236369,0.876322814792436,0,-0,0,-0,-0.00346736296547214,0.0767017158057646,-0.102833017619742,0.63200006133289
0.252876827501325,-0.0671823836572706,-0.0226439488636675,0.964808516956877,0.0237681614816089,-0.00699290617295272,-0.0280134339141243,19.6289357160431,-0.732656416782515,0.877711491397972,0,-0,0,-0,-0.00356349648791055,0.0767159806156264,-0.102820665149185,0.631978158825088
0.252922439174292,-0.0670813278836004,-0.0226003508836642,0.964802980857971,0.0237597646893776,-0.00711727942606928,-0.0280517661187293,19.6261921075913,-0.735498817013199,0.879102196333844,0,-0,0,-0,-0.00365963001034895,0.0767302454254881,-0.102808312678627,0.631956256317285
0.252968050847259,-0.0669802721099301,-0.0225567529036609,0.964797444759066,0.0237513678971463,-0.00724165267918584,-0.0280900983233344,19.6234502016482,-0.738340872268792,0.880494929102172,0,-0,0,-0,-0.00375576353278736,0.0767445102353499,-0.102795960208069,0.631934353809483
0.253013662520227,-0.0668792163362587,-0.0225131549236571,0.96479190866016,0.023742971104915,-0.00736602593230381,-0.0281284305279399,19.6207099986931,-0.741182581889706,0.881889689204735,0,-0,0,-0,-0.00385189705522686,0.0767587750452118,-0.102783607737512,0.63191245130168
0.253059274193194,-0.0667781605625884,-0.0224695569436538,0.964786372561255,0.0237345743126837,-0.00749039918542037,-0.0281667627325449,19.6179714992048,-0.744023945216355,0.883286476142916,0,-0,0,-0,-0.00394803057766526,0.0767730398550736,-0.102771255266954,0.631890548793877
0.253104885866161,-0.0666771047889182,-0.0224259589636505,0.964780836462349,0.0237261775204524,-0.00761477243853693,-0.02820509493715,19.615234703662,-0.746864961589275,0.884685289417794,0,-0,0,-0,-0.00404416410010367,0.0767873046649354,-0.102758902796396,0.631868646286075
0.253150497539128,-0.0665760490152479,-0.0223823609836472,0.964775300363444,0.0237177807282212,-0.00773914569165349,-0.028243427141755,19.6124996125428,-0.74970563034903,0.886086128530075,0,-0,0,-0,-0.00414029762254208,0.0768015694747971,-0.102746550325839,0.631846743778272
