Row,Model_1,Model_2
c_T_J_pusher,0.00388152360911291,0.00369515930282008
c_L_0,0.0123137279579165,0.0113192787652459
c_L_alpha,0.186260110525174,0.174550230717561
c_L_q,1.27652182088844,1.15844650867933
c_L_delta_e,0.069554372917295,0.0690251433483328
c_D_p,0.0103914349527588,0.00959442738232769
c_D_alpha,0.174415612071183,0.15997804348912
c_D_alpha_sq,0.226486634870482,0.193555491947721
c_D_q,1.43354125885145,1.3662487228286
c_D_delta_e,0.0551251617345101,0.0562245560073343
c_m_0,0.00196224975415578,0.00186885570777236
c_m_alpha,0.0202902867421772,0.018958788539826
c_m_q,0.883536697528085,0.848650157396727
c_m_delta_e,0.0107102424821657,0.0103085652053536
