state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,accelerations_1,accelerations_2,accelerations_3
-0.927990512792554,0.00163989631795763,-0.133030444095743,0.348042776954785,0.0782696276242567,-0.173818063951503,0.0931201953575829,13.0073211679853,-1.7011874132825,2.42897278002445,0,-0,-0,0,0.0979814900740154,0.520519067102845,-0.028740529110611,0,0.436710035332119,0.116548520774304,-7.27611155777806
-0.928205810502951,0.0027529934048709,-0.132614186694159,0.34762039904704,0.0871503034590892,-0.173184748241294,0.0917167246278177,12.9893668777772,-1.72308794137248,2.42503317909382,0,-0,-0,0,0.095415976794769,0.515523606328704,-0.0286770464071957,0,0.553114377192539,0.106212940988185,-7.75833967891119
-0.928423567637843,0.00377324530815804,-0.132155163779589,0.347203803258313,0.100971638584533,-0.180663050807633,0.0848961717402019,12.9719014075431,-1.74840498879583,2.41797754821056,0,-0,-0,0,0.0927959820294302,0.510495967847947,-0.0279794006212958,0,0.460051198161336,0.0652553907266686,-7.5398321950477
-0.92858202296689,0.00443082904054543,-0.13178216473731,0.346913469423314,0.117395310466424,-0.182514354361647,0.0811106025728208,12.9608483239934,-1.7630145356647,2.411448901895,0,-0,-0,0,0.0893748955725156,0.505520743779653,-0.0273033973121514,0,0.550883009842969,-0.0981063947699033,-7.34889993414249
-0.928794285361089,0.00522966163115883,-0.131246229429214,0.346537141438216,0.126741530128879,-0.198351061970536,0.079722295801139,12.9462274703118,-1.78357127405433,2.40273569167617,0,-0,-0,0,0.0862185997067889,0.500538525484347,-0.0269085294068782,0,0.704097206402289,0.461674177863337,-7.49608384039044
-0.929046344005729,0.00601637880865482,-0.130560575547258,0.346107416486292,0.138147210188185,-0.200714526574606,0.0759517880008194,12.9295654081863,-1.80770391178241,2.39683666692957,0,-0,-0,0,0.0828953267833263,0.495524088416238,-0.0261934849950929,0,0.6692130371485,-0.126102890809979,-7.07773709112261
-0.929302413175121,0.0067123947210781,-0.12984240230872,0.345677148483022,0.15988506482385,-0.194867754624112,0.0821623432131574,12.9137069512065,-1.82993064499423,2.39068407166259,-0,-0,-0,0,0.0783362620152867,0.490528385761421,-0.0260061072165649,0,0.501566474874262,0.111876816187575,-7.24145710350206
-0.929567776667346,0.00735704998744293,-0.129136829917151,0.34521442040917,0.192318503299327,-0.191164422994916,0.0782513704636745,12.8973940234187,-1.85760236486645,2.39387584436434,-0,-0,-0,0,0.0726972461049009,0.485493429150149,-0.0255595615113741,0,0.534785188596891,-0.183681237681746,-6.30202761318615
-0.929829153386372,0.00787235588320907,-0.128422834531827,0.344765595158101,0.221823091819231,-0.187444550168378,0.0757304352402315,12.8794943581595,-1.88076605299143,2.39470111482981,-0,-0,-0,0,0.0665100493215756,0.480508153632861,-0.0245610928029109,0,0.469114406241766,0.0320623604746107,-7.1657763854765
-0.93008914108022,0.00830626862525351,-0.127658655749903,0.344337577278419,0.217921060002051,-0.189267496770145,0.0794252836019802,12.8629466701987,-1.90022041346322,2.39124045032356,-0,-0,-0,0,0.062123530560811,0.475512336925945,-0.0243682423964403,0,0.532143697489923,0.356866828017606,-7.32811805847086
-0.930350497805852,0.00866500178457545,-0.126840002168574,0.343924881145662,0.219090540141338,-0.200836898039902,0.0730541519621838,12.8465993254583,-1.92197689508306,2.3881197463095,-0,-0,-0,0,0.057901880338096,0.4705258775608,-0.0235318883630648,0,0.42839103695823,0.559863379976842,-7.173840560675
-0.930750757549101,0.00904134231741123,-0.125563474249177,0.343299829115178,0.223536623705667,-0.20839867133463,0.0571923857588892,12.8253464654704,-1.95304877388571,2.38197974415385,-0,-0,-0,0,0.053609108858586,0.465521258017164,-0.0217733934528274,0,0.549210722034325,0.243930674631864,-7.58606000491091
-0.931071910929829,0.00931089061630609,-0.124414193643613,0.342840181662233,0.218695838977063,-0.22872336355767,0.0555452408510593,12.8166195323764,-1.98055650372627,2.3817811680223,-0,-0,-0,0,0.0497649526129743,0.460524884425807,-0.0207600828614611,0,0.458443748144081,-0.194450063403907,-7.17240037016903
-0.931357095013299,0.00948845066090489,-0.123427200688826,0.34241719880319,0.240646654974411,-0.236820222852748,0.0610359450307175,12.8024766604973,-2.00433101409605,2.38140527342133,-0,-0,-0,0,0.044117186317301,0.455488637497456,-0.020420457158435,0,0.45593833265597,0.00647755863096245,-6.59111137592086
-0.931630848629438,0.00952820218645809,-0.12248066138447,0.342011121152704,0.255778407591448,-0.232203394054866,0.052385323295752,12.7871192070908,-2.02521939372556,2.38462987710612,-0,-0,-0,0,0.0380048686835411,0.4505221577371,-0.0195106659519547,0,0.565990224576626,0.521313379623674,-6.84361663583906
-0.931897192252684,0.00954176419631706,-0.121553605507524,0.341615605128391,0.246443739586362,-0.2273301988329,0.0443989973431735,12.7718596641296,-2.04127758188889,2.38773423793221,-0,-0,-0,0,0.0336216102087941,0.445515940780667,-0.0179495656184196,0,0.496394269114093,0.270286272000892,-6.41112296495374
-0.932145735582036,0.00952364958091258,-0.120627327282126,0.341266187075493,0.236611033657894,-0.21242778227909,0.0523934515707791,12.7568429533803,-2.05736543396942,2.38782669005494,-0,-0,-0,0,0.0302219099500769,0.44052431128532,-0.0178618252658627,0,0.384649044388336,-0.0500885627617929,-7.16352424967794
-0.932411806316488,0.00939328447759908,-0.11969473023323,0.340871062663669,0.24185178296802,-0.211569868646715,0.0451334470741939,12.7413211560933,-2.0785286051509,2.39374168819234,-0,-0,-0,0,0.0254242203680268,0.435535530914362,-0.0170462441911136,0,0.461332512108042,0.086918103388291,-6.84218300839562
-0.932666465573853,0.00922979173220229,-0.118764440756348,0.340503947899961,0.260955115105569,-0.220472529019026,0.0397818367734779,12.7267951791862,-2.09741555245647,2.393712801287,-0,-0,-0,0,0.0196126451037819,0.430528454262475,-0.0157547693753835,0,0.459810455608312,0.331453534474012,-7.140281146423
-0.932922402485678,0.00902691757099133,-0.117753887098819,0.340159151239773,0.274350697594103,-0.230714223500334,0.0434718927688109,12.7126973605302,-2.1137882361808,2.39217281401454,-0,-0,-0,0,0.013099405014766,0.425516048434653,-0.0153138262430977,0,0.210894836957536,0.448800147135132,-7.26363823529366
