Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0.2343152499999938,1000,,,,0.0020562752715356783,22.599521653687354,0.03384977255475189,0,0,0.7649801310639404,0,,
0.23712424999998766,1000,,,,0.0020217413371129015,22.602334021377015,0.02176914575310988,0,0,0.49203448715333165,0,,
0.7375714999999909,1000,,,,0.001519118756838269,22.603061951070583,0.01950477566587637,0,0,0.44086800601820003,0,,
1.237793249999988,1000,,,,0.0016518634312084727,22.602999427284423,0.012018406180286942,0,0,0.2716524088850353,0,,
1.7373682499999936,1000,,,,0.002909251659933784,22.603407328085062,0.020107905122754635,0,0,0.4545091837896182,0,,
2.2374795000000045,1000,,,,0.0015491868954628464,22.60412545879597,0.02108306638033284,0,0,0.4765644317130249,0,,
2.73712674999999,1000,,,,-0.0007780703112632432,22.605008501880132,0.02034479723424943,0,0,0.45989357096720485,0,,
3.237610999999993,1000,,,,0.0006897755431503367,22.60522130489303,0.021659807787903017,0,0,0.48962459827893634,0,,
3.7372242499999877,1150,,,,0.0007697573048254464,22.584392798757428,0.5174150218358574,12,0,11.67448257491486,0.00001845736094639008,,
4.237678499999986,1150,,,,0.0006905252893238378,22.529739528857487,1.689317479466253,306,0,38.057550611002256,0.000019193504653011753,,
4.7380072499999955,1150,,,,-0.012413099504696743,22.508688878910583,1.9733571485760586,294,0,44.41760842336222,0.000282021992604297,,
5.237802499999988,1150,,,,0.00320222011361324,22.507861590594807,1.720814471855567,382,0,38.72685085014878,0.00015435862241984117,,
5.737693999999991,1150,,,,0.0186359828585276,22.565019507875416,0.34991865031300107,706,0,7.894303065781413,0.003096211059707461,,
6.238018249999998,1150,,,,0.02498777277418874,22.579716667157033,0.16581595919877587,715,0,3.744043218180907,0.006802366706841511,,
6.73795524999999,1150,,,,0.026613183334233313,22.584630885626623,0.1515431533820541,715,0,3.4225417960892144,0.00779706152203907,,
7.237937749999991,1150,,,,0.025843336233480636,22.58665846390229,0.1577041365741853,706,0,3.562010325891175,0.007262204324759197,,
7.737590249999981,1150,,,,0.02536861750268456,22.589653465429183,0.15738321848163772,706,0,3.555232385378109,0.007140292994687486,,
8.23736699999999,1150,,,,0.02540369584157478,22.59079757638255,0.16172167087565945,705,0,3.6534225167471455,0.006958361709661159,,
8.735743499999995,1154.9345262500005,,,,0.026077647538065,22.59214849349296,0.17427191542544881,731,0,3.9371657328892185,0.006663461317823934,,
9.235756999999989,1165.5440775000006,,,,0.03211709237048878,22.590309976289625,0.2484876256315572,874,0,5.613402381746601,0.005721743759916546,,
9.736792999999993,1176.1828687500006,,,,0.04848992934803196,22.58789400103436,0.31381170220456556,1035,0,7.088330085833631,0.006817566680680386,,
10.236809499999989,1186.8129262500004,,,,0.06282600393679454,22.585078660473176,0.390327641799426,1183,0,8.815558003060904,0.0071225811777762315,,
10.735726750000001,1197.4264671875005,,,,0.08197621319130385,22.581334913223085,0.4625778389258917,1329,0,10.445596195522114,0.007845083567464783,,
11.236141249999992,1208.0544953125002,,,,0.10690559758967506,22.576227142093067,0.5561578881229877,1472,0,12.555904483658782,0.00851625001864831,,
11.735576750000009,1218.6737312500004,,,,0.14195800683743667,22.570699363909227,0.6726644163608256,1615,0,15.182445674783452,0.009325670516853974,,
12.2356005,1229.2972915625,,,,0.17545016087795678,22.565525724585555,0.7793316342737017,1749,0,17.586008377278148,0.009983189463047607,,
12.736735999999986,1239.9356790625002,,,,0.17673500561500807,22.56157064109344,0.8232983286692054,1818,0,18.574854521843015,0.009517242060950531,,
13.235841499999998,1250.5505906250005,,,,0.21276538180878832,22.555039224601877,0.9324726748908143,1927,0,21.03188636730369,0.010102627976978041,,
13.736089250000001,1261.1768125000003,,,,0.15415413805374784,22.54738323973448,1.050096189500428,2049,0,23.676826598254568,0.006532632079850406,,
14.236156999999986,1271.8037409375004,,,,0.2216922081168226,22.537711068615586,1.1910888841300906,2183,0,26.844315398184527,0.008226395236839039,,
14.735684249999991,1282.4170215625004,,,,0.29347686535171463,22.52891143083897,1.3361557777575974,2315,0,30.101963331635222,0.009749758831151874,,
15.237753249999994,1293.0766537500003,,,,0.32638255499314933,22.51907882985516,1.4881943156999236,2438,0,33.51261917643665,0.009742555897567184,,
15.73648399999999,1303.6864015625001,,,,0.3631641903986239,22.508819576778176,1.644642818332997,2557,0,37.01884926017176,0.009806974868417416,,
16.23717725,1314.3202734375002,,,,0.3982994264650816,22.4977900733577,1.8287725208439045,2675,0,41.14308816837699,0.009684257566446228,,
16.735437499999996,1324.9149125000006,,,,0.4351592460416035,22.482726416836773,2.0243102433262563,2791,0,45.51175271777938,0.009559382484087874,,
17.236704,1335.5616778125002,,,,0.47683657163891624,22.468567152636847,2.2457320452291216,2906,0,50.45810038096621,0.009453100865293168,,
17.735966249999993,1346.1774871875004,,,,0.5144974008860894,22.45337762864046,2.45197678210754,3020,0,55.054910374369754,0.009345131478257539,,
18.235449499999998,1356.7936259375,,,,0.5555460252642559,22.43543269474554,2.7139993736878028,3143,0,60.88908138135139,0.009129471878119633,,
18.736530999999992,1367.4365928125003,,,,0.6030216898461035,22.416208413493806,3.0080008588360476,3281,0,67.4275589469988,0.008942775136301744,,
