timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
328817432,328816867,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
328978659,328978120,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
328983546,328983008,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
328988459,328987896,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
328993323,328992784,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
328998287,328997720,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329003127,329002560,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329008014,329007448,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329012873,329012336,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329017802,329017224,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329022651,329022112,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329027537,329027000,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329032467,329031890,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329037342,329036776,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329042200,329041664,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329047099,329046552,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329051973,329051440,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329056869,329056328,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329061750,329061216,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329066644,329066104,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329071523,329070992,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329076433,329075880,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329081309,329080768,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329086192,329085657,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329091085,329090544,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329095973,329095435,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329100864,329100320,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329105746,329105208,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329110639,329110096,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329115526,329114984,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329120414,329119875,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329125320,329124762,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329130289,329129653,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329135099,329134549,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329139964,329139424,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329144911,329144312,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329149738,329149200,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329154635,329154088,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329159544,329158976,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329164406,329163864,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329169290,329168752,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329174217,329173642,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329179112,329178573,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329183973,329183416,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329188886,329188304,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
329193748,329193196,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
