Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0.2325694999999251,1000,,,,0.00259551981958882,23.14663227338911,0.02148227920609331,7570,0,0.5241030531092223,0.0027762250753681924,,
0.2385352500000212,1000,,,,0.0026500090521758683,23.147558415620736,-0.0008895634182975787,0,0,0.04781223328898941,0,,
0.738801250000013,1000,,,,0.0020762599015117338,23.148027408850826,-0.0024215550013612875,0,0,0.057676527458379034,0,,
1.2387387500000302,1000,,,,0.0025094630311435833,23.148589369518135,-0.005395648042255115,0,0,0.12490149789325344,0,,
1.7386557500000168,1000,,,,0.0024862397695619457,23.148720807955435,-0.0031012031208011246,0,0,0.0717886958223109,0,,
2.238734750000015,1000,,,,0.0018413502463936458,23.148470484694794,-0.006541021928651834,0,0,0.1514146710913155,0,,
2.738363000000018,1000,,,,0.001804754125325354,23.148668373059614,-0.005254546544847987,0,0,0.1216358954377352,0,,
3.2382687500000342,1000,,,,0.0015872797231002169,23.14956289566338,-0.006402204727936925,0,0,0.14820815794318776,0,,
3.7386120000000056,1095,,,,0.001536267148045577,23.14930006162009,-0.007711743290789471,0,0,0.17852101075512852,0,,
4.23845950000002,1100,,,,0.002080249680123494,23.1503399934467,-0.004720297175585146,0,0,0.1092767378007845,0,,
4.738799749999994,1100,,,,0.0014196397701482016,23.15037062055172,-0.004484176778427186,0,0,0.10368640831908418,0,,
5.23901000000002,1100,,,,0.0020459608549623764,23.150453684469962,-0.006569122642728835,0,0,0.1518981028735116,0,,
5.738920250000018,1100,,,,0.0012490793954508742,23.150580392668786,-0.005551027262383787,0,0,0.1285091576797237,0,,
6.238766250000031,1100,,,,0.0010786283909359061,23.151400086944985,-0.0062798093880015796,0,0,0.1453863486047695,0,,
6.738543000000041,1100,,,,0.002009563794603078,23.15147311007059,-0.006061805215305456,0,0,0.14033958556732934,0,,
7.238894000000007,1100,,,,0.00270589298751033,23.15149645090448,-0.006367601443265487,0,0,0.14741984462430613,0,,
7.738532500000012,1100,,,,0.0023183814456627623,23.151884643603104,-0.006350603807885527,0,0,0.14702862584545717,0,,
8.238832750000025,1100,,,,0.001811965364847002,23.151844325638525,-0.0012981203897656282,0,0,0.04014139057016078,0,,
8.737494750000039,1103.7060099999994,,,,0.00232739894014484,23.151452785705846,-0.003153923684953444,0,0,0.07443685857764536,0,,
9.237877500000002,1112.4323718749995,,,,0.0018890779407649996,23.152517510579923,-0.004968093199124968,0,0,0.11502379608593856,0,,
9.737050500000018,1121.17313625,,,,0.001255916012396584,23.152484887084825,-0.007779094231037767,0,0,0.18010483243136613,0,,
10.238230750000024,1129.9358718749997,,,,0.0010586429974450858,23.15214727031381,-0.007929270191698035,0,0,0.18357904223978688,0,,
10.737897250000032,1138.6808537499999,,,,0.0015141913636583582,23.1525662203986,-0.006456084488154858,0,0,0.14947551949622093,0,,
11.237843750000021,1147.4340562500001,,,,0.0019896334505838885,23.132958108423576,0.6120910204006502,1,0,14.25021836240299,0.000029931963389776877,,
11.738040000000026,1156.1841437499997,,,,0.011501326105189589,23.113931493212323,0.990772215745047,557,0,22.893856689359296,0.0008668552502803121,,
12.237976500000025,1164.9346206249998,,,,0.033060153253094554,23.136038175829704,0.2680951102211097,895,0,6.202622406359205,0.005441682711036913,,
12.737999500000013,1173.685451875,,,,0.04683681749056427,23.137232246323308,0.27134400428419037,1026,0,6.278147451155438,0.007457462552513773,,
13.237448250000023,1182.4287712499997,,,,0.061012818141090185,23.135643618704016,0.33124725950685147,1156,0,7.663605238568827,0.007962385042702838,,
13.737937000000016,1191.1864231249997,,,,0.07487465529951676,23.133068776429,0.39607229321540627,1280,0,9.162347601237379,0.008166340565164232,,
14.237529500000003,1199.9289506249997,,,,0.09786900433311489,23.130784941213843,0.4638924774688179,1406,0,10.730184476218872,0.009116826337359807,,
14.73780575000003,1208.6823937499998,,,,0.11585608681462967,23.127274405743314,0.5577214744659073,1526,0,12.898530243892466,0.008990245084892438,,
15.237588500000015,1217.4281193749998,,,,0.15127969855746168,23.123272622172646,0.6427925308243082,1643,0,14.863437074186479,0.010164110360172217,,
