Row,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23,Model_24,Model_25,Model_26,Model_27,Model_28,Model_29,Model_30,Model_31,Model_32
c_L_0,0.432662645295896,0.411798449641822,0.386287046280797,0.472126545609276,0.387795121213396,0.390135608945993,0.42196095982987,0.405251846866739,0.451502995479196,0.436969708649043,0.413926875978861,0.412643609600077,0.437271520900303,0.4242908923414,0.389098349877242,0.417146353223948,0.452944608763732,0.45457919804348,0.379765322182645,0.401928747991709,0.341549490819746,0.436701659300782,0.418846181201841,0.394632606506595,0.372900706359606,0.440513770900847,0.431282232781202,0.413177784025277,0.390740274511555,0.345687881921259,0.436975101087882,0.45562384909066
c_L_alpha,4.83551931898349,4.83349376029199,4.83587032462465,4.83557256926621,4.835845763594,4.83575620385224,4.83565665399249,4.8357439916439,4.83587999007859,4.83587999583939,4.8356154608356,4.83509655832342,4.83586138129146,4.83499213204808,4.83586891683389,4.83557990321243,4.83587994478443,4.83587467495828,4.83575485113828,4.8334644356615,4.83302184101652,4.83032538236225,4.83587956239607,4.83553842998673,4.83468526655645,4.83587131276242,4.83587978154106,4.8358799948126,4.83280497216437,4.83080925587349,4.83570665967087,4.83587893648479
c_L_q,14.1356542264302,45.8088093692705,-27.5650375752186,21.0408743695908,17.0455626685871,4.74776008319035,10.0540796610654,2.019255475196,-54.4723388161017,-25.3133520537802,21.1793581461971,-3.4802603416821,19.648398132918,46.3652016294832,1.62020081805187,-1.52192856200454,27.2594397202704,-6.42019185383511,14.8316725860294,16.4469697106037,17.7670981106274,24.3210715742064,-28.0952596328814,10.5917290377532,5.8734465083428,47.7296751310925,-14.144443205177,-20.6892664931256,-19.5891753308292,25.5046342207422,9.13822142866015,28.1890848534523
c_L_delta_e,-0.0975791153727822,-0.0544251643810098,0.2193626474344,-0.160642221205422,0.0248091709804739,0.110376888086301,0.293304693663833,0.163513164446715,0.3181259195162,0.171733928817801,-0.0399988795949234,0.208751420595994,0.146135131815557,-0.0204241610702441,0.100680972012184,0.359644017251815,0.125279150039606,0.180689045298599,0.226946512400221,0.460466529455453,0.0712177754408556,-0.0669900773938549,0.172793960111747,0.37140648354598,0.0892125227117789,-0.347774623378056,0.283439035967153,0.140929458645872,0.0967853108025523,-0.220924313462247,0.449550080552566,0.497373438422375
c_D_p,0.102059999999978,0.102059999999978,0.102059999999978,0.10205999999997,0.102059999999962,0.10205999993924,0.102059999999964,0.102059999999978,0.102059999999978,0.102059999999976,0.102059999999957,0.102059999999956,0.102059999999977,0.102059999999978,0.102059999999973,0.102059999999966,0.102059999999978,0.102059999999978,0.102059999999978,0.102059999999977,0.102059999999961,0.102059999982845,0.102059999999978,0.102059999999975,0.102059999999957,0.102059999999978,0.102059999999973,0.102059999999976,0.102059999999961,0.102059999999977,0.102059999999977,0.102059999999976
c_D_alpha,0.490139999999974,0.490139999999978,0.490139999999978,0.480821934387882,0.490139999999963,0.490139999999105,0.490139999999966,0.490139999999978,0.490139999999978,0.490139999999976,0.490139999999958,0.490139999999977,0.490139999999978,0.490139999999978,0.490139990799308,0.490139999992833,0.490139999999978,0.490139999999978,0.490139999999978,0.490139999999972,0.490139999999961,0.490139999959424,0.490139999999978,0.490139999999978,0.490139999999956,0.490139999999968,0.490139999999973,0.490139999999976,0.490139999999973,0.490139997707462,0.490139999999974,0.490139999999976
c_D_alpha_sq,0.366708248825726,0.366939999999974,0.246926703787694,0.36129023243481,0.366933875246076,0.366939999999154,0.361166680603651,0.366939993861619,0.157266359157335,0.366254917813287,0.366909916932587,0.366939999962324,0.366939999979089,0.353309277498563,0.366939637446644,0.361482192725412,0.36691271614593,0.366909220403595,0.366939999953512,0.366159029371982,0.366926000223259,0.366053941835,0.157267383174042,0.365969648031173,0.290955515343156,0.340125958785089,0.366920958239895,0.158390559996129,0.354347894983032,0.175930176494287,0.366938466084877,0.366939518325988
c_D_q,100.167224603755,90.3064208104607,96.114916460942,113.276886523886,94.1024320452955,66.5762732105469,39.000368081535,118.92081561376,76.6648641502729,97.3040384746073,113.45243801673,103.601068342295,43.3376105812379,84.6382967570097,79.1927838698194,76.2679629492676,98.4603247870675,105.876080902352,83.4938468827542,69.7976892993984,89.6641346365679,98.0910794826907,111.159862285009,80.6700191431693,107.290764975582,118.35933333626,83.1334254448733,112.046120104091,111.11162465194,112.517597956856,63.260086008151,48.1087185129534
c_D_delta_e,0.639173090074178,0.567420874343946,0.372232889655782,0.846488402817299,0.609604079330107,0.110360852457053,0.0313282490474185,0.710908641127541,0.471447667051217,0.668462180540341,0.836307413627143,0.45699671233174,0.0270184796054037,0.625197268201772,0.237750239934418,0.350889139808567,0.69959486386888,0.624311941640837,0.505685037344993,0.236465666446162,0.428040500716017,0.590622690283994,0.69131242534883,0.165570344922319,0.641767725330222,0.922926846827239,0.2985833633041,0.68443709386957,0.552544594537434,0.762818786035563,0.110961646899747,0.110401683963139
c_m_0,0.155960056931159,0.164829943020057,0.138372321434826,0.129031632872116,0.154582200068942,0.169786270092192,0.157835366796822,0.161154731243441,0.112096316081592,0.126629267692926,0.154746104634685,0.153847264563065,0.131087630215479,0.155151545331482,0.159860633489641,0.157979415866976,0.135948981374995,0.144632182815423,0.178539548165368,0.157594177150368,0.174996453711278,0.151785300666624,0.144167827728176,0.171906446267115,0.163938597439724,0.172498666649425,0.134933800015263,0.1246277008562,0.152572034716433,0.180027265183056,0.148637111979774,0.133745344725248
